i	token	is_section_start	gold	pred
78758	eignes	0		
78759	Lorgnon	0		
78760	vor	0		
78761	und	0		
78762	fixirte	0		
78763	ihn	0	(mention_id=9285|references=(entity=(entity_id=entity_0522|fullname=Elfter Jüngling|gender=m)))	
78764	eben	0		
78765	so	0		
78766	.	0		
78767	Da	0		
78768	erröthete	0		
78769	der	0		
78770	Junge	0	(mention_id=9286|references=(entity=(entity_id=entity_0522|fullname=Elfter Jüngling|gender=m)))	(mention_id=9204|references=(entity=(entity_id=69|fullname=der Junge|gender=m)))
78771	,	0		
78772	ließ	0		
78773	sein	0	(mention_id=9287|references=(entity=(entity_id=entity_0522|fullname=Elfter Jüngling|gender=m)))	(mention_id=9205|references=(entity=(entity_id=69|fullname=der Junge|gender=m)))
78774	Lorgnon	0		
78775	fallen	0		
78776	und	0		
78777	ging	0		
78778	.	0		
78779	Moorfeld	0	(mention_id=9288|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=9206|references=(entity=(entity_id=34|fullname=Moorfeld|gender=m)))
78780	und	0		
78781	Bennet	0	(mention_id=9289|references=(entity=(entity_id=entity_0055|fullname=Mr. Bennet|gender=m)))	(mention_id=9207|references=(entity=(entity_id=5|fullname=Bennet|gender=m)))
78782	lächelten	0		
78783	sich	0	(mention_id=9290|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)),(entity=(entity_id=entity_0055|fullname=Mr. Bennet|gender=m)))	(mention_id=9208|references=(entity=(entity_id=34|fullname=Moorfeld|gender=m)),(entity=(entity_id=5|fullname=Bennet|gender=m)))
78784	zu	0		
78785	.	0		
78786	Nach	0		
78787	und	0		
78788	nach	0		
78789	fand	0		
78790	sich	0	(mention_id=9291|references=(entity=(entity_id=entity_0519|fullname=Gesellschaft bei Bennet|gender=mf|specialcase_entity=group)))	
78791	zahlreichere	0		
78792	Gesellschaft	0	(mention_id=9292|references=(entity=(entity_id=entity_0519|fullname=Gesellschaft bei Bennet|gender=mf|specialcase_entity=group)))	(mention_id=9209|references=(entity=(entity_id=108|fullname=die Gesellschaft|gender=u|specialcase_entity=group)))
78793	ein	0		
78794	.	0		
78795	Im	0		
78796	Laufe	0		
78797	einer	0		
78798	Stunde	0		
78799	war	0		
78800	schon	0		
78801	so	0		
78802	viel	0		
78803	„	0		
78804	Welt	0		
78805	“	0		
78806	da	0		
78807	,	0		
78808	daß	0		
78809	die	0		
78810	Dandies	0	(mention_id=9293|references=(entity=(entity_id=entity_0506|fullname=Jünglinge|gender=m|possible_identity_with=entity_0099|members=entity_0539,entity_0545,entity_0567,entity_0573,entity_0579,entity_0580,entity_0583,entity_0584,entity_0606,entity_0613,entity_0617,entity_0619|all_members_given=False|specialcase_entity=group)))	
78811	on	0		
78812	short	0		
78813	allowance	0		
78814	sich	0		
78815	erträglich	0		
78816	genug	0		
78817	darin	0		
78818	verloren	0		
78819	.	0		
78820	Zwar	0		
78821	blieb	0		
78822	das	0		
78823	Publikum	0	(mention_id=9294|references=(entity=(entity_id=entity_0519|fullname=Gesellschaft bei Bennet|gender=mf|specialcase_entity=group)))	(mention_id=9210|references=(entity=(entity_id=50|fullname=das Publikum|gender=u|specialcase_entity=group)))
78824	noch	0		
78825	immer	0		
78826	gemischt	0		
78827	,	0		
78828	wie	0		
78829	Moorfeld	0	(mention_id=9295|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=9211|references=(entity=(entity_id=34|fullname=Moorfeld|gender=m)))
78830	im	0		
78831	Kommen	0		
78832	und	0		
78833	Gehen	0		
78834	dieser	0		
78835	Menschen	0	(mention_id=9296|references=(entity=(entity_id=entity_0519|fullname=Gesellschaft bei Bennet|gender=mf|specialcase_entity=group)))	(mention_id=9212|references=(entity=(entity_id=generic_0001|fullname=Menschen im Allgemeinen|gender=u|specialcase_entity=generic)))
78836	überhaupt	0		
78837	einen	0		
78838	erstaunlichen	0		
78839	Grad	0		
78840	von	0		
78841	republikanischer	0		
78842	Sittenfreiheit	0		
78843	wahrnahm	0		
78844	;	0		
78845	auch	0		
78846	bedauerte	0		
78847	Mr.	0	(mention_id=9297|references=(entity=(entity_id=entity_0055|fullname=Mr. Bennet|gender=m)))	(mention_id=9213|references=(entity=(entity_id=5|fullname=Bennet|gender=m)))
78848	Bennet	0	(mention_id=9297|references=(entity=(entity_id=entity_0055|fullname=Mr. Bennet|gender=m)))	(mention_id=9213|references=(entity=(entity_id=5|fullname=Bennet|gender=m)))
78849	wiederholt	0		
78850	,	0		
78851	daß	0		
78852	er	0	(mention_id=9298|references=(entity=(entity_id=entity_0055|fullname=Mr. Bennet|gender=m)))	(mention_id=9214|references=(entity=(entity_id=5|fullname=Bennet|gender=m)))
78853	Moorfelden	0	(mention_id=9299|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=9215|references=(entity=(entity_id=34|fullname=Moorfeld|gender=m)))
78854	nicht	0		
78855	vorgestern	0		
78856	auf	0		
78857	New-Jersey	0		
78858	bei	0		
78859	sich	0	(mention_id=9300|references=(entity=(entity_id=entity_0055|fullname=Mr. Bennet|gender=m)))	(mention_id=9216|references=(entity=(entity_id=5|fullname=Bennet|gender=m)))
78860	gesehen	0		
78861	,	0		
78862	die	0		
78863	Elite	0	(mention_id=9301|references=(entity=(entity_id=entity_0563|fullname=Gesellschaftselite|gender=u|specialcase_entity=group)))	(mention_id=9217|references=(entity=(entity_id=98|fullname=die Elite der Gesellschaft|gender=u|specialcase_entity=group)))
78864	der	0		
78865	Gesellschaft	0		(mention_id=9218|references=(entity=(entity_id=98|fullname=die Elite der Gesellschaft|gender=u|specialcase_entity=group)))
78866	wohne	0		
78867	jetzt	0		
78868	draußen	0		
78869	,	0		
78870	und	0		
78871	der	0		
78872	heutige	0		
78873	Rout	0		
78874	sei	0		
78875	mehr	0		
78876	eine	0		
78877	Förmlichkeit	0		
78878	gegen	0		
78879	die	0		
78880	Stadt	0		
78881	,	0		
78882	gewissermaßen	0		
78883	eine	0		
78884	Beobachtung	0		
78885	der	0		
78886	demokratischen	0		
78887	dehors	0		
78888	;	0		
78889	doch	0		
78890	zweifle	0		
78891	er	0	(mention_id=9302|references=(entity=(entity_id=entity_0055|fullname=Mr. Bennet|gender=m)))	(mention_id=9219|references=(entity=(entity_id=5|fullname=Bennet|gender=m)))
78892	nicht	0		
78893	,	0		
78894	es	0		
78895	werde	0		
78896	sich	0	(mention_id=9303|references=(entity=(entity_id=entity_0055|fullname=Mr. Bennet|gender=m)))	
78897	noch	0		
78898	immer	0		
78899	eine	0		
78900	kleine	0		
78901	Geistes-Gemeinde	0	(mention_id=9304|references=(entity=(entity_id=entity_0554|fullname=GeistesGemeinde|gender=u|specialcase_entity=group)))	(mention_id=9220|references=(entity=(entity_id=107|fullname=die GeistesGemeinde|gender=u|specialcase_entity=group)))
78902	für's	0		
78903	Estaminet	0		
78904	zusammenfinden	0		
78905	,	0		
78906	an	0		
78907	die	0	(mention_id=9305|references=(entity=(entity_id=entity_0554|fullname=GeistesGemeinde|gender=u|specialcase_entity=group)))	
78908	halte	0		
78909	man	0		
78910	sich	0	(mention_id=9306|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)),(entity=(entity_id=entity_0055|fullname=Mr. Bennet|gender=m)))	
78911	dann	0		
