i	token	is_section_start	gold	pred
66170	Zwanzigstes	1		
66171	Kapitel	0		
66172	.	0		
66173	Eines	0		
66174	Morgens	0		
66175	erschien	0		
66176	Schneckenkaschper	0	(mention_id=10407|references=(entity=(entity_id=entity_0006|fullname=Kaspar|gender=m)))	(mention_id=10475|references=(entity=(entity_id=13|fullname=Kaspar|gender=m)))
66177	mit	0		
66178	seinem	0	(mention_id=10408|references=(entity=(entity_id=entity_0006|fullname=Kaspar|gender=m)))	(mention_id=10476|references=(entity=(entity_id=13|fullname=Kaspar|gender=m)))
66179	Patz	0		
66180	auf	0		
66181	dem	0		
66182	Abtshofe	0		
66183	und	0		
66184	saß	0		
66185	,	0		
66186	unverwandt	0		
66187	das	0		
66188	Haus	0		
66189	im	0		
66190	Auge	0		
66191	behaltend	0		
66192	,	0		
66193	geduldig	0		
66194	so	0		
66195	lange	0		
66196	auf	0		
66197	der	0		
66198	Bank	0		
66199	unter	0		
66200	dem	0		
66201	großen	0		
66202	Nußbaum	0		
66203	,	0		
66204	bis	0		
66205	ihn	0	(mention_id=10409|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=10477|references=(entity=(entity_id=13|fullname=Kaspar|gender=m)))
66206	Trudi	0	(mention_id=10410|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=10478|references=(entity=(entity_id=21|fullname=Trudi|gender=f)))
66207	von	0		
66208	einem	0		
66209	Fenster	0		
66210	aus	0		
66211	erblickte	0		
66212	und	0		
66213	auf	0		
66214	ein	0		
66215	Zeichen	0		
66216	von	0		
66217	ihm	0	(mention_id=10411|references=(entity=(entity_id=entity_0006|fullname=Kaspar|gender=m)))	(mention_id=10479|references=(entity=(entity_id=13|fullname=Kaspar|gender=m)))
66218	mit	0		
66219	Ammerie	0	(mention_id=10412|references=(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)))	(mention_id=10480|references=(entity=(entity_id=1|fullname=Ammerie|gender=f)))
66220	herauskam	0		
66221	.	0		
66222	Da	0		
66223	steckte	0		
66224	er	0	(mention_id=10413|references=(entity=(entity_id=entity_0006|fullname=Kaspar|gender=m)))	(mention_id=10481|references=(entity=(entity_id=13|fullname=Kaspar|gender=m)))
66225	ihr	0	(mention_id=10414|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=10482|references=(entity=(entity_id=21|fullname=Trudi|gender=f)))
66226	einen	0		
66227	Brief	0		
66228	zu	0		
66229	,	0		
66230	auf	0		
66231	den	0		
66232	er	0	(mention_id=10415|references=(entity=(entity_id=entity_0006|fullname=Kaspar|gender=m)))	(mention_id=10483|references=(entity=(entity_id=13|fullname=Kaspar|gender=m)))
66233	seinem	0	(mention_id=10416|references=(entity=(entity_id=entity_0006|fullname=Kaspar|gender=m)))	(mention_id=10484|references=(entity=(entity_id=13|fullname=Kaspar|gender=m)))
66234	Großvater	0	(mention_id=10417|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))	(mention_id=10485|references=(entity=(entity_id=10|fullname=Großvater von Kaspar|gender=m)))
66235	mündliche	0		
66236	Antwort	0		
66237	bringen	0		
66238	sollte	0		
66239	.	0		
66240	Die	0		
66241	Mädchen	0	(mention_id=10418|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)),(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)))	(mention_id=10486|references=(entity=(entity_id=21|fullname=Trudi|gender=f)),(entity=(entity_id=1|fullname=Ammerie|gender=f)))
66242	,	0		
66243	höchst	0		
66244	erstaunt	0		
66245	über	0		
66246	diese	0		
