i	token	is_section_start	gold	pred
30796	8.	1		
30797	Es	0		
30798	ist	0		
30799	köstlich	0		
30800	,	0		
30801	mit	0		
30802	seinem	0		(mention_id=4380|references=(entity=(entity_id=9|fullname=Franz|gender=m)))
30803	Glück	0		
30804	dem	0		
30805	Lenz	0		
30806	entgegenzugehen	0		
30807	.	0		
30808	Blatt	0		
30809	um	0		
30810	Blatt	0		
30811	trieben	0		
30812	die	0		
30813	Bäume	0		
30814	im	0		
30815	Niendorfer	0		
30816	Garten	0		
30817	,	0		
30818	wie	0		
30819	grüne	0		
30820	Schleier	0		
30821	hing	0		
30822	es	0		
30823	über	0		
30824	dem	0		
30825	sprossenden	0		
30826	Walde	0		
30827	,	0		
30828	und	0		
30829	überall	0		
30830	blühten	0		
30831	die	0		
30832	Veilchen	0		
30833	,	0		
30834	in	0		
30835	Trudchens	0	(mention_id=4374|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=4381|references=(entity=(entity_id=32|fullname=Trudchen|gender=f)))
30836	ganzem	0		
30837	Revier	0		
30838	duftete	0		
30839	es	0		
30840	nach	0		
30841	den	0		
30842	blauen	0		
30843	Frühlingskindern	0		
30844	.	0		
30845	Wie	0		
30846	Lerchenschlag	0		
30847	drang	0		
30848	die	0		
30849	Stimme	0		
30850	der	0		
30851	jungen	0		
30852	Frau	0	(mention_id=4375|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=4382|references=(entity=(entity_id=32|fullname=Trudchen|gender=f)))
30853	durch	0		
30854	das	0		
30855	alte	0		
30856	Haus	0		
30857	.	0		
30858	Wenn	0		
30859	Franz	0	(mention_id=4376|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))	(mention_id=4383|references=(entity=(entity_id=9|fullname=Franz|gender=m)))
30860	sonnenverbrannt	0		
30861	vom	0		
30862	Felde	0		
30863	heimkehrte	0		
30864	,	0		
30865	flatterte	0		
30866	oben	0		
30867	aus	0		
30868	den	0		
30869	blinkenden	0		
30870	Fenstern	0		
30871	ein	0		
30872	weißes	0		
30873	Tuch	0		
30874	,	0		
30875	und	0		
30876	kam	0		
30877	er	0	(mention_id=4377|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))	(mention_id=4384|references=(entity=(entity_id=9|fullname=Franz|gender=m)))
30878	auf	0		
30879	den	0		
30880	Hof	0		
30881	,	0		
30882	so	0		
30883	flatterte	0		
30884	es	0		
30885	auf	0		
30886	der	0		
30887	obersten	0		
30888	Treppenstufe	0		
30889	in	0		
30890	ihrer	0	(mention_id=4378|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=4385|references=(entity=(entity_id=32|fullname=Trudchen|gender=f)))
30891	Hand	0		
30892	.	0		
30893	»	0		
30894	Liebster	0	(mention_id=4379|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))	(mention_id=4386|references=(entity=(entity_id=9|fullname=Franz|gender=m)))
30895	,	0		
30896	da	0		
30897	bist	0		
30898	du	0	(mention_id=4380|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))	(mention_id=4387|references=(entity=(entity_id=9|fullname=Franz|gender=m)))
30899	!	0		
30900	«	0		
30901	sagte	0		
30902	sie	0	(mention_id=4381|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=4388|references=(entity=(entity_id=32|fullname=Trudchen|gender=f)))
30903	dann	0		
30904	innig	0		
30905	.	0		
30906	Und	0		
30907	die	0		
30908	Spaziergänge	0		
30909	im	0		
30910	Walde	0		
30911	,	0		
30912	die	0		
30913	Abende	0		
30914	,	0		
30915	wenn	0		
30916	er	0	(mention_id=4382|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))	(mention_id=4389|references=(entity=(entity_id=9|fullname=Franz|gender=m)))
30917	vorlas	0		
30918	,	0		
30919	und	0		
30920	dann	0		
30921	die	0		
30922	Einrichtung	0		
30923	des	0		
30924	Hauses	0		
30925	!	0		
30926	Wie	0		
30927	süß	0		
30928	war	0		
30929	es	0		
30930	,	0		
30931	zusammen	0		
30932	zu	0		
30933	beraten	0		
30934	,	0		
30935	auszuwählen	0		
30936	,	0		
30937	einzukaufen	0		
30938	,	0		
30939	und	0		
30940	wie	0		
30941	freuten	0		
30942	sie	0	(mention_id=4383|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))	(mention_id=4390|references=(entity=(entity_id=9|fullname=Franz|gender=m)),(entity=(entity_id=32|fullname=Trudchen|gender=f)))
30943	sich	0	(mention_id=4384|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))	(mention_id=4391|references=(entity=(entity_id=9|fullname=Franz|gender=m)),(entity=(entity_id=32|fullname=Trudchen|gender=f)))
30944	beide	0	(mention_id=4385|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))	(mention_id=4392|references=(entity=(entity_id=9|fullname=Franz|gender=m)),(entity=(entity_id=32|fullname=Trudchen|gender=f)))
30945	,	0		
30946	wenn	0		
30947	sie	0	(mention_id=4386|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))	(mention_id=4393|references=(entity=(entity_id=9|fullname=Franz|gender=m)),(entity=(entity_id=32|fullname=Trudchen|gender=f)))
30948	genau	0		
30949	das	0		
30950	nämliche	0		
30951	gedacht	0		
30952	hatten	0		
30953	.	0		
30954	So	0		
30955	putzte	0		
30956	sich	0		
30957	allmählich	0		
30958	das	0		
30959	alte	0		
30960	Haus	0		
30961	.	0		
30962	Tapezierer	0	(mention_id=4387|references=(entity=(entity_id=entity_0229|fullname=Tapezierer|gender=m|specialcase_entity=group)))	(mention_id=4394|references=(entity=(entity_id=generic_0001|fullname=Tapezierer im Allgemeinen|gender=u|specialcase_entity=generic)))
30963	und	0		
30964	Handwerker	0	(mention_id=4388|references=(entity=(entity_id=entity_0224|fullname=Handwerker|gender=m|specialcase_entity=group)))	(mention_id=4395|references=(entity=(entity_id=generic_0002|fullname=Handwerker im Allgemeinen|gender=u|specialcase_entity=generic)))
30965	schafften	0		
30966	darin	0		
30967	,	0		
30968	nur	0		
30969	Frau	0	(mention_id=4389|references=(entity=(entity_id=entity_0011|fullname=Rosalie Kruse|gender=f)))	(mention_id=4396|references=(entity=(entity_id=11|fullname=Frau Rosa|gender=f)))
30970	Rosas	0	(mention_id=4389|references=(entity=(entity_id=entity_0011|fullname=Rosalie Kruse|gender=f)))	(mention_id=4396|references=(entity=(entity_id=11|fullname=Frau Rosa|gender=f)))
30971	Zimmer	0		
30972	blieb	0		
30973	unbehelligt	0		
30974	und	0		
30975	das	0		
30976	traute	0		
30977	Stübchen	0		
30978	des	0		
30979	Hausherrn	0	(mention_id=4390|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))	(mention_id=4397|references=(entity=(entity_id=9|fullname=Franz|gender=m)))
30980	,	0		
30981	in	0		
30982	dem	0		
30983	sie	0	(mention_id=4391|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))	(mention_id=4398|references=(entity=(entity_id=32|fullname=Trudchen|gender=f)))
30984	ihre	0	(mention_id=4392|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))	(mention_id=4399|references=(entity=(entity_id=32|fullname=Trudchen|gender=f)))
30985	glücklichsten	0		
30986	Wochen	0		
30987	verlebt	0		
30988	hatten	0		
30989	.	0		
30990	Und	0		
30991	heute	0		
30992	war	0		
30993	alles	0		
30994	fertig	0		
30995	,	0		
30996	gemütlich	0		
30997	und	0		
30998	wohnlich	0		
30999	,	0		
31000	aber	0		
31001	ohne	0		
31002	jeglichen	0		
31003	Pomp	0		
31004	.	0		
31005	Die	0		
31006	niedrigen	0		
31007	Räume	0		
31008	eigneten	0		
31009	sich	0		
31010	nicht	0		
31011	zur	0		
31012	Schaustellung	0		
31013	kostbarer	0		
31014	geschnitzter	0		
31015	Möbel	0		
31016	–	0		
31017	so	0		
31018	hatten	0		
31019	sie	0	(mention_id=4393|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))	(mention_id=4400|references=(entity=(entity_id=9|fullname=Franz|gender=m)),(entity=(entity_id=32|fullname=Trudchen|gender=f)))
31020	beide	0	(mention_id=4394|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))	(mention_id=4401|references=(entity=(entity_id=9|fullname=Franz|gender=m)),(entity=(entity_id=32|fullname=Trudchen|gender=f)))
31021	im	0		
31022	richtigen	0		
31023	Gefühl	0		
31024	nur	0		
31025	einfache	0		
31026	Sachen	0		
31027	gewählt	0		
31028	.	0		
31029	»	0		
31030	Wenn	0		
31031	wir	0	(mention_id=4395|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))	(mention_id=4402|references=(entity=(entity_id=9|fullname=Franz|gender=m)),(entity=(entity_id=32|fullname=Trudchen|gender=f)))
