i	token	mention	is_section_start	gold
7	Erstes		1	
8	Kapitel		0	
9	.		0	
10	An		0	
11	einem		0	
12	warmen		0	
13	Septemberabend		0	
14	saß		0	
15	ein		0	
16	hochgestalteter		0	
17	,		0	
18	stämmiger		0	
19	Mann	2	0	(mention_id=1|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))
20	mit		0	
21	grauem		0	
22	Langhaar		0	
23	vor		0	
24	dem		0	
25	Wohnhause		0	
26	seines	3	0	(mention_id=2|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))
27	Gehöftes		0	
28	in		0	
29	dem		0	
30	anmutig		0	
31	gelegenen		0	
32	Städtchen		0	
33	Wachenheim		0	
34	in		0	
35	der		0	
36	Rheinpfalz		0	
37	und		0	
38	blickte		0	
39	sinnend		0	
40	vor		0	
41	sich	4	0	(mention_id=3|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))
42	hin		0	
43	.		0	
44	Er	5	0	(mention_id=4|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))
45	war		0	
46	in		0	
47	landesüblicher		0	
48	Bauerntracht		0	
49	,		0	
50	aber		0	
51	seine	6	0	(mention_id=5|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))
52	Haltung		0	
53	und		0	
54	ganze		0	
55	Erscheinung		0	
56	hatten		0	
57	etwas		0	
58	Würdevolles		0	
59	,		0	
60	Achtunggebietendes		0	
61	.		0	
62	Seine	7	0	(mention_id=6|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))
63	rechte		0	
64	Hand		0	
65	ruhte		0	
66	auf		0	
67	dem		0	
68	derben		0	
69	Kreuzbeintische		0	
70	vor		0	
71	ihm	8	0	(mention_id=7|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))
72	,		0	
73	und		0	
74	ohne		0	
75	sich	9	0	(mention_id=8|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))
76	dessen		0	
77	bewußt		0	
78	zu		0	
79	sein		0	
80	,		0	
81	trommelte		0	
82	er	10	0	(mention_id=9|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))
83	auf		0	
84	der		0	
85	Platte		0	
86	einen		0	
87	marschmäßigen		0	
88	Takt		0	
89	.		0	
90	Er	11	0	(mention_id=10|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))
91	hatte		0	
92	in		0	
93	den		0	
94	überstandenen		0	
95	,		0	
96	langen		0	
97	Kriegsjahren		0	
98	viel		0	
99	trommeln		0	
100	gehört		0	
101	,		0	
102	und		0	
103	so		0	
104	war		0	
105	ihm	12	0	(mention_id=11|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))
106	dieses		0	
107	Fingerspiel		0	
108	zur		0	
109	Gewohnheit		0	
110	geworden		0	
111	,		0	
112	wenn		0	
113	ihm	13	0	(mention_id=12|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))
114	etwas		0	
115	Besonderes		0	
116	die		0	
117	Gedanken		0	
118	bewegte		0	
