i	token	mention	is_section_start	gold
61032	denn		0	
61033	überhaupt		0	
61034	die		0	
61035	neuen		0	
61036	Freunde	7152	0	(mention_id=7261|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)),(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))
61037	sich	7153	0	(mention_id=7262|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)),(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))
61038	je		0	
61039	wieder		0	
61040	trennen		0	
61041	?		0	
61042	Benthal	7154	0	(mention_id=7263|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))
61043	,		0	
61044	die		0	
61045	positive		0	
61046	,		0	
61047	handelnde		0	
61048	Natur	7155	0	(mention_id=7264|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))
61049	mit		0	
61050	ihrer	7156	0	(mention_id=7265|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))
61051	tiefen		0	
61052	Andacht		0	
61053	für		0	
61054	das		0	
61055	Ideale		0	
61056	,		0	
61057	Moorfeld	7157	0	(mention_id=7266|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61058	,		0	
61059	der		0	
61060	Idealist	7158	0	(mention_id=7267|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61061	mit		0	
61062	seinem	7159	0	(mention_id=7268|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61063	tiefen		0	
61064	Bedürfniß		0	
61065	,		0	
61066	sich	7160	0	(mention_id=7269|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61067	realistisch		0	
61068	zu		0	
61069	erfüllen		0	
61070	,		0	
61071	—		0	
61072	begegnen		0	
61073	sich		0	(mention_id=7270|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)),(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))
61074	diese		0	
61075	zwei		0	
61076	Charaktere	7161	0	(mention_id=7271|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)),(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))
61077	nicht		0	
61078	gewissermaßen		0	
61079	typisch		0	
61080	,		0	
61081	und		0	
61082	ist		0	
61083	nicht		0	
61084	die		0	
61085	ganze		0	
61086	Menschheit		0	(mention_id=7272|references=(entity=(entity_id=generic_3388|fullname=die ganze Menschheit|gender=u|specialcase_entity=generic)))
61087	hergestellt		0	
61088	,		0	
61089	wenn		0	
61090	sich		0	(mention_id=7273|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)),(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61091	diese		0	
61092	Individuen	7162	0	(mention_id=7274|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)),(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61093	ergänzen		0	
61094	?		0	
61095	Welche		0	
61096	Wirkungen		0	
61097	lassen		0	
61098	sich		0	
61099	hoffen		0	
61100	aus		0	
61101	den		0	
61102	Anfängen		0	
61103	eines		0	
61104	so		0	
61105	naturgemäßen		0	
61106	Bundes		0	
61107	!		0	
61108	Wahrlich		0	
61109	,		0	
61110	es		0	
61111	wäre		0	
61112	auf		0	
61113	diesem		0	
61114	Boden		0	
61115	nicht		0	
61116	das		0	
