i	token	mention	gold
15132	Viertes		
15133	Buch		
15134	Erstes		
15135	Kapitel		
15136	Die		
15137	Freude		
15138	meiner	2384	(mention_id=2379|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
15139	Tante	2385	(mention_id=2380|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
15140	,		
15141	mich	2386	(mention_id=2381|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
15142	nach		
15143	einem		
15144	Jahre		
15145	wieder		
15146	zu		
15147	umarmen		
15148	,		
15149	war		
15150	unbeschreiblich		
15151	.		
15152	Sie	2387	(mention_id=2382|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
15153	fand		
15154	mich	2388	(mention_id=2383|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
15155	größer		
15156	,		
15157	männlicher		
15158	,		
15159	und		
15160	wollte		
15161	einen		
15162	besondern		
15163	Zug		
15164	von		
15165	Erfahrung		
15166	in		
15167	meiner	2389	(mention_id=2384|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
15168	Phisiognomie		
15169	entdecken		
15170	.		
15171	Ich	2390	(mention_id=2385|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
15172	lächelte		
15173	schweigend		
15174	und		
15175	nahm		
15176	mir	2391	(mention_id=2386|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
15177	die		
15178	neue		
15179	Kammerjungfer	2392	(mention_id=2387|references=(entity=(entity_id=entity_0008|fullname=Kammerjungfer|gender=f)))
15180	ein		
15181	wenig		
15182	in		
15183	Augenschein		
15184	.		
15185	Es		
15186	war		
15187	noch		
15188	dieselbe		
15189	kleine		
15190	Brünette	2393	(mention_id=2388|references=(entity=(entity_id=entity_0008|fullname=Kammerjungfer|gender=f)))
15191	im		
15192	grünen		
15193	Corsettchen		
15194	,		
15195	und		
15196	,		
15197	wie		
15198	wie		
15199	mich	2394	(mention_id=2389|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
15200	dünkte		
15201	,		
15202	nichts		
15203	weniger		
15204	als		
15205	zu		
15206	ihrem	2395	(mention_id=2390|references=(entity=(entity_id=entity_0008|fullname=Kammerjungfer|gender=f)))
15207	Nachtheile		
15208	verändert		
15209	.		
15210	Auch		
15211	sie	2396	(mention_id=2391|references=(entity=(entity_id=entity_0008|fullname=Kammerjungfer|gender=f)))
15212	war		
15213	gewachsen		
15214	;		
15215	war		
15216	noch		
15217	voller		
15218	und		
15219	blühender		
15220	;		
15221	aber		
15222	,		
15223	wenn		
15224	ich	2397	(mention_id=2392|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
15225	nicht		
15226	irrte		
15227	,		
15228	auch		
15229	um		
15230	ein		
15231	ganz		
15232	Theil		
15233	stolzer		
15234	geworden		
15235	.		
15236	Diese		
15237	Vermuthung		
15238	fand		
15239	sich		
15240	durch		
15241	die		
15242	Aeußerungen		
15243	der		
15244	Bedienten	2398	(mention_id=2393|references=(entity=(entity_id=entity_0063|fullname=Bedienstete|gender=u|members=entity_0059|all_members_given=False|specialcase_entity=group)))
15245	vollkommen		
15246	bestätigt		
15247	.		
15248	Nach		
15249	ihrer	2399	(mention_id=2394|references=(entity=(entity_id=entity_0063|fullname=Bedienstete|gender=u|members=entity_0059|all_members_given=False|specialcase_entity=group)))
15250	Aussage		
15251	,		
15252	war		
15253	Röschen	2400	(mention_id=2395|references=(entity=(entity_id=entity_0008|fullname=Kammerjungfer|gender=f)))
15254	die		
15255	grausamste		
15256	,		
15257	widerspenstigste		
15258	Schöne	2401	(mention_id=2396|references=(entity=(entity_id=entity_0008|fullname=Kammerjungfer|gender=f)))
15259	auf		
15260	dem		
15261	Erdboden		
15262	;		
15263	und		
15264	sie	2402	(mention_id=2397|references=(entity=(entity_id=entity_0008|fullname=Kammerjungfer|gender=f)))
15265	würde		
15266	–		
15267	meynten		
15268	sie	2403	(mention_id=2398|references=(entity=(entity_id=entity_0063|fullname=Bedienstete|gender=u|members=entity_0059|all_members_given=False|specialcase_entity=group)))
15269	–		
15270	eher		
15271	einen		
15272	Mann	2404	(mention_id=2399|references=(entity=(entity_id=generic_0183|fullname=generic_0062|gender=u|specialcase_entity=generic)))
15273	zu		
15274	ihren	2405	(mention_id=2400|references=(entity=(entity_id=entity_0008|fullname=Kammerjungfer|gender=f)))
15275	Füssen		
15276	sterben		
15277	lassen		
15278	;		
15279	als		
15280	einen		
15281	mitleidigen		
15282	Blick		
15283	auf		
15284	ihn	2406	(mention_id=2401|references=(entity=(entity_id=generic_0184|fullname=generic_0063|gender=u|specialcase_entity=generic)))
15285	werfen		
15286	.		
15287	»		
15288	Kinder	2407	(mention_id=2402|references=(entity=(entity_id=entity_0063|fullname=Bedienstete|gender=u|members=entity_0059|all_members_given=False|specialcase_entity=group)))
15289	!		
15290	Kinder	2408	(mention_id=2403|references=(entity=(entity_id=entity_0063|fullname=Bedienstete|gender=u|members=entity_0059|all_members_given=False|specialcase_entity=group)))
15291	!		
15292	«		
15293	–		
15294	sagte		
15295	ich	2409	(mention_id=2404|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
15296	–		
15297	»		
15298	ihr	2410	(mention_id=2405|references=(entity=(entity_id=entity_0063|fullname=Bedienstete|gender=u|members=entity_0059|all_members_given=False|specialcase_entity=group)))
15299	macht		
15300	es		
15301	auch		
15302	gar		
15303	zu		
15304	arg		
15305	!		
15306	«		
15307	–		
15308	»		
15309	Nein		
15310	gnädiger		
15311	Herr	2411	(mention_id=2406|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
15312	!		
15313	«		
15314	–		
15315	rief		
15316	Friedrich	2412	(mention_id=2407|references=(entity=(entity_id=entity_0059|fullname=Friedrich|gender=m)))
15317	der	2412	(mention_id=2407|references=(entity=(entity_id=entity_0059|fullname=Friedrich|gender=m)))
15318	Jäger	2413	(mention_id=2407|references=(entity=(entity_id=entity_0059|fullname=Friedrich|gender=m)))
15319	,		
15320	ein		
15321	hübscher		
15322	,		
15323	schlanker		
