i	token	mention	gold
31698	Zehntes		
31699	Kapitel		
31700	.		
31701	Als		
31702	nun		
31703	auch		
31704	ein		
31705	arbeitsfreier		
31706	Sonntag		
31707	nach		
31708	dem		
31709	andern		
31710	verging		
31711	,		
31712	ohne		
31713	daß		
31714	Franz	4832	(mention_id=4778|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
31715	den		
31716	Hof		
31717	betrat		
31718	,		
31719	fing		
31720	Trudi	4833	(mention_id=4779|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))
31721	doch		
31722	allmählich		
31723	an		
31724	,		
31725	sich	4834	(mention_id=4780|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))
31726	über		
31727	sein	4835	(mention_id=4781|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
31728	Ausbleiben		
31729	zu		
31730	beunruhigen		
31731	und		
31732	nach		
31733	anderen		
31734	Gründen		
31735	dafür		
31736	zu		
31737	suchen		
31738	als		
31739	in		
31740	seiner	4836	(mention_id=4782|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
31741	anstrengenden		
31742	wirtschaftlichen		
31743	Tätigkeit		
31744	.		
31745	Sie	4837	(mention_id=4783|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))
31746	hatte		
31747	ihn	4838	(mention_id=4784|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
31748	einmal		
31749	in		
31750	der		
31751	Kirche		
31752	gesehen		
31753	und		
31754	dort		
31755	einen		
31756	fest		
31757	auf		
31758	sie	4839	(mention_id=4785|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))
31759	gerichteten		
31760	traurigen		
31761	Blick		
31762	von		
31763	ihm	4840	(mention_id=4786|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
31764	aufgefangen		
31765	.		
31766	Was		
31767	hatte		
31768	der		
31769	zu		
31770	bedeuten		
31771	?		
31772	eine		
31773	ihr	4841	(mention_id=4787|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))
31774	aus		
31775	seinem	4842	(mention_id=4788|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
31776	Herzen		
31777	von		
31778	fern		
31779	zugesandte		
31780	Anklage		
31781	?		
31782	aber		
31783	um		
31784	welcher		
31785	ihr	4843	(mention_id=4789|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))
31786	unbewußten		
31787	Schuld		
31788	willen		
31789	?		
31790	Hatte		
31791	sie	4844	(mention_id=4790|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))
31792	ihn	4845	(mention_id=4791|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
31793	durch		
31794	ein		
31795	von		
31796	ihm	4846	(mention_id=4792|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
31797	mißverstandenes		
31798	Wort		
31799	oder		
31800	durch		
31801	ein		
31802	ungewollt		
31803	kühles		
31804	Benehmen		
31805	verletzt		
31806	?		
31807	Aber		
31808	wann		
31809	und		
31810	wo		
31811	sollte		
31812	das		
31813	geschehen		
31814	sein		
31815	?		
31816	sie	4847	(mention_id=4793|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))
31817	konnte		
31818	sich	4848	(mention_id=4794|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))
31819	auf		
31820	etwas		
31821	dem		
31822	Ähnliches		
31823	durchaus		
31824	nicht		
31825	besinnen		
31826	.		
31827	Oder		
31828	–		
31829	–		
31830	Ammerie	4849	(mention_id=4795|references=(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)))
31831	hatte		
31832	ihr	4850	(mention_id=4796|references=(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)))
31833	einmal		
31834	gesagt		
31835	,		
31836	daß		
31837	sein	4851	(mention_id=4797|references=(entity=(entity_id=entity_0012|fullname=Florian Gersbacher|gender=m)))
31838	und		
31839	Jakobinens	4852	(mention_id=4798|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
31840	Vater	4853	(mention_id=4799|references=(entity=(entity_id=entity_0023|fullname=Adam Steinecker|gender=m)))
31841	einen		
31842	Pakt		
31843	geschlossen		
31844	hätten		
31845	,		
