i	token	mention	gold
13405	Fünftes		
13406	Kapitel		
13407	Brief		
13408	der		
13409	Vorsteherin	1781	(mention_id=1736|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13410	»		
13411	Euer	1782	(mention_id=1737|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
13412	Gnaden	1782	(mention_id=1737|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
13413	werden		
13414	verzeihen		
13415	,		
13416	wenn		
13417	ich	1783	(mention_id=1738|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13418	mich	1784	(mention_id=1739|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13419	heute		
13420	ganz		
13421	kurz		
13422	fasse		
13423	;		
13424	denn		
13425	ich	1785	(mention_id=1740|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13426	habe		
13427	nach		
13428	vollendeter		
13429	öffentlicher		
13430	Prüfung		
13431	dessen		
13432	,		
13433	was		
13434	wir	1786	(mention_id=1741|references=(entity=(entity_id=entity_0053|fullname=alle Erziehenden der Pension|gender=mfu|members=entity_0023,entity_0037|all_members_given=False|specialcase_entity=group)))
13435	im		
13436	vergangenen		
13437	Jahr		
13438	an		
13439	unsern	1787	(mention_id=1742|references=(entity=(entity_id=entity_0053|fullname=alle Erziehenden der Pension|gender=mfu|members=entity_0023,entity_0037|all_members_given=False|specialcase_entity=group)))
13440	Zöglingen	1788	(mention_id=1743|references=(entity=(entity_id=entity_0038|fullname=alle Schülerinnen der Pension zur Zeit als Ottilie und Luciane dort sind|gender=f|members=entity_0005,entity_0006|all_members_given=False|specialcase_entity=group)))
13441	geleistet		
13442	haben		
13443	,		
13444	an		
13445	die		
13446	sämtlichen		
13447	Eltern	1789	(mention_id=1744|references=(entity=(entity_id=entity_0042|fullname=Eltern aller Schülerinnen der Pension|gender=mf|members=entity_0002|all_members_given=False|specialcase_entity=group)))
13448	und		
13449	Vorgesetzten	1790	(mention_id=1745|references=(entity=(entity_id=entity_0045|fullname=Vorgesetzte aller Schülerinnen der Anstalt|gender=u|members=entity_0002|all_members_given=False|specialcase_entity=group)))
13450	den		
13451	Verlauf		
13452	zu		
13453	melden		
13454	;		
13455	auch		
13456	darf		
13457	ich	1791	(mention_id=1746|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13458	wohl		
13459	kurz		
13460	sein		
13461	,		
13462	weil		
13463	ich	1792	(mention_id=1747|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13464	mit		
13465	wenigem		
13466	viel		
13467	sagen		
13468	kann		
13469	.		
13470	Ihre	1793	(mention_id=1748|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
13471	Fräulein	1794	(mention_id=1749|references=(entity=(entity_id=entity_0005|fullname=Luciane|gender=f)))
13472	Tochter	1794	(mention_id=1749|references=(entity=(entity_id=entity_0005|fullname=Luciane|gender=f)))
13473	hat		
13474	sich	1795	(mention_id=1750|references=(entity=(entity_id=entity_0005|fullname=Luciane|gender=f)))
13475	in		
13476	jedem		
13477	Sinne		
13478	als		
13479	die		
13480	Erste	1796	(mention_id=1751|references=(entity=(entity_id=entity_0005|fullname=Luciane|gender=f)))
13481	bewiesen		
13482	.		
13483	Die		
13484	beiliegenden		
13485	Zeugnisse		
13486	,		
13487	ihr	1797	(mention_id=1752|references=(entity=(entity_id=entity_0005|fullname=Luciane|gender=f)))
13488	eigner		
13489	Brief		
13490	,		
13491	der		
13492	die		
13493	Beschreibung		
13494	der		
13495	Preise		
13496	enthält		
13497	,		
13498	die		
13499	ihr	1798	(mention_id=1753|references=(entity=(entity_id=entity_0005|fullname=Luciane|gender=f)))
13500	geworden		
13501	sind		
13502	,		
13503	und		
13504	zugleich		
13505	das		
13506	Vergnügen		
13507	ausdrückt		
13508	,		
13509	das		
13510	sie	1799	(mention_id=1754|references=(entity=(entity_id=entity_0005|fullname=Luciane|gender=f)))
13511	über		
13512	ein		
13513	so		
13514	glückliches		
13515	Gelingen		
13516	empfindet		
13517	,		
13518	wird		
13519	Ihnen	1800	(mention_id=1755|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
13520	zur		
13521	Beruhigung		
13522	,		
13523	ja		
13524	zur		
13525	Freude		
13526	gereichen		
13527	.		
13528	Die		
13529	meinige	1801	(mention_id=1756|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13530	wird		
13531	dadurch		
13532	einigermaßen		
13533	gemindert		
13534	,		
13535	daß		
13536	ich	1802	(mention_id=1757|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13537	voraussehe		
13538	,		
13539	wir	1803	(mention_id=1758|references=(entity=(entity_id=entity_0053|fullname=alle Erziehenden der Pension|gender=mfu|members=entity_0023,entity_0037|all_members_given=False|specialcase_entity=group)))
13540	werden		
13541	nicht		
13542	lange		
13543	mehr		
13544	Ursache		
13545	haben		
13546	,		
13547	ein		
13548	so		
13549	weit		
13550	vorgeschrittenes		
13551	Frauenzimmer	1804	(mention_id=1759|references=(entity=(entity_id=entity_0005|fullname=Luciane|gender=f)))
13552	bei		
13553	uns	1805	(mention_id=1760|references=(entity=(entity_id=entity_0053|fullname=alle Erziehenden der Pension|gender=mfu|members=entity_0023,entity_0037|all_members_given=False|specialcase_entity=group)))
13554	zurückzuhalten		
13555	.		
13556	Ich	1806	(mention_id=1761|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13557	empfehle		
13558	mich	1807	(mention_id=1762|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13559	zu		
13560	Gnaden	1808	(mention_id=1763|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
13561	und		
13562	nehme		
13563	mir	1809	(mention_id=1764|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13564	die		
13565	Freiheit		
13566	,		
13567	nächstens		
13568	meine	1810	(mention_id=1765|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13569	Gedanken		
13570	über		
13571	das		
13572	,		
13573	was		
13574	ich	1811	(mention_id=1766|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13575	am		
13576	vorteilhaftesten		
13577	für		
13578	sie	1812	(mention_id=1767|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
13579	halte		
13580	,		
13581	zu		
13582	eröffnen		
13583	.		
13584	Von		
13585	Ottilien	1813	(mention_id=1768|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
13586	schreibt		
13587	mein	1814	(mention_id=1769|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13588	freundlicher		
13589	Gehülfe	1815	(mention_id=1770|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
13590	.		
13591	«		
13592	Brief		
13593	des		
13594	Gehülfen	1816	(mention_id=1771|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
13595	»		
13596	Von		
13597	Ottilien	1817	(mention_id=1772|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
13598	läßt		
13599	mich	1818	(mention_id=1773|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
13600	unsre	1819	(mention_id=1774|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)),(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13601	ehrwürdige		
13602	Vorsteherin	1820	(mention_id=1775|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13603	schreiben		
13604	,		
13605	teils		
13606	weil		
13607	es		
13608	ihr	1821	(mention_id=1776|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13609	,		
13610	nach		
13611	ihrer	1822	(mention_id=1777|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13612	Art		
13613	zu		
13614	denken		
13615	,		
13616	peinlich		
13617	wäre		
13618	,		
13619	dasjenige		
13620	,		
13621	was		
13622	zu		
13623	melden		
13624	ist		
13625	,		
13626	zu		
13627	melden		
13628	,		
13629	teils		
13630	auch		
13631	,		
13632	weil		
13633	sie	1823	(mention_id=1778|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13634	selbst		
13635	einer		
13636	Entschuldigung		
13637	bedarf		
13638	,		
13639	die		
13640	sie	1824	(mention_id=1779|references=(entity=(entity_id=entity_0023|fullname=Vorsteherin der Pension|gender=f)))
13641	lieber		
13642	mir	1825	(mention_id=1780|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
13643	in		
13644	den		
13645	Mund		
13646	legen		
13647	mag.		
13648	Da		
13649	ich	1826	(mention_id=1781|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
13650	nur		
13651	allzuwohl		
13652	weiß		
13653	,		
13654	wie		
13655	wenig		
13656	die		
13657	gute		
13658	Ottilie	1827	(mention_id=1782|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
13659	das		
13660	zu		
13661	äußern		
13662	imstande		
13663	ist		
13664	,		
13665	was		
13666	in		
13667	ihr	1828	(mention_id=1783|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
13668	liegt		
13669	und		
13670	was		
13671	sie	1829	(mention_id=1784|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
13672	vermag		
13673	,		
13674	so		
13675	war		
13676	mir	1830	(mention_id=1785|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
13677	vor		
13678	der		
13679	öffentlichen		
13680	Prüfung		
13681	einigermaßen		
13682	bange		
13683	,		
13684	um		
13685	so		
13686	mehr		
13687	,		
13688	als		
13689	überhaupt		
13690	dabei		
13691	keine		
13692	Vorbereitung		
13693	möglich		
13694	ist		
13695	,		
13696	und		
13697	auch		
13698	,		
13699	wenn		
13700	es		
13701	nach		
13702	der		
13703	gewöhnlichen		
13704	Weise		
13705	sein		
13706	könnte		
13707	,		
13708	Ottilie	1831	(mention_id=1786|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
13709	auf		
13710	den		
13711	Schein		
13712	nicht		
13713	vorzubereiten		
13714	wäre		
13715	.		
13716	Der		
13717	Ausgang		
13718	hat		
13719	meine	1832	(mention_id=1787|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
13720	Sorge		
13721	nur		
13722	zu		
13723	sehr		
13724	gerechtfertigt		
13725	;		
13726	sie	1833	(mention_id=1788|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
13727	hat		
13728	keinen		
13729	Preis		
13730	erhalten		
13731	und		
13732	ist		
13733	auch		
13734	unter		
13735	denen	1834	(mention_id=1789|references=(entity=(entity_id=entity_0055|fullname=Schülerinnen die kein Zeugnis empfangen haben|gender=f|members=entity_0006|all_members_given=False|specialcase_entity=group)))
13736	,		
13737	die	1835	(mention_id=1790|references=(entity=(entity_id=entity_0055|fullname=Schülerinnen die kein Zeugnis empfangen haben|gender=f|members=entity_0006|all_members_given=False|specialcase_entity=group)))
13738	kein		
13739	Zeugnis		
13740	empfangen		
13741	haben		
13742	.		
13743	Was		
13744	soll		
13745	ich	1836	(mention_id=1791|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
13746	viel		
13747	sagen		
13748	?		
13749	Im		
13750	Schreiben		
13751	hatten		
13752	andere	1837	(mention_id=1792|references=(entity=(entity_id=entity_0059|fullname=andere Schülerinnen außer Ottilie|gender=f|specialcase_entity=group)))
13753	kaum		
13754	so		
13755	wohlgeformte		
13756	Buchstaben		
13757	,		
13758	doch		
13759	viel		
13760	freiere		
13761	Züge		
13762	;		
13763	im		
13764	Rechnen		
13765	waren		
13766	alle	1838	(mention_id=1793|references=(entity=(entity_id=entity_0039|fullname=alle Schülerinnen der Pension außer Ottilie zur Zeit als Luciane und Ottilie dort sind|gender=f|members=entity_0005|all_members_given=False|specialcase_entity=group)))
13767	schneller		
13768	,		
13769	und		
13770	an		
13771	schwierige		
13772	Aufgaben		
13773	,		
13774	welche		
13775	sie	1839	(mention_id=1794|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
13776	besser		
13777	löst		
13778	,		
13779	kam		
13780	es		
13781	bei		
13782	der		
13783	Untersuchung		
13784	nicht		
13785	.		
13786	Im		
13787	Französischen		
13788	überparlierten		
13789	und		
13790	überexponierten		
13791	sie	1840	(mention_id=1795|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
13792	manche		(mention_id=1796|references=(entity=(entity_id=entity_0060|fullname=manche Schülerinnen außer Ottilie|gender=f|specialcase_entity=group)))
13793	;		
13794	in		
13795	der		
13796	Geschichte		
13797	waren		
13798	ihr	1841	(mention_id=1797|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
13799	Namen		
13800	und		
13801	Jahrzahlen		
13802	nicht		
13803	gleich		
13804	bei		
13805	der		
13806	Hand		
13807	;		
13808	bei		
13809	der		
13810	Geographie		
13811	vermißte		
13812	man		
13813	Aufmerksamkeit		
13814	auf		
13815	die		
13816	politische		
13817	Einteilung		
13818	.		
13819	Zum		
13820	musikalischen		
13821	Vortrag		
13822	ihrer	1842	(mention_id=1798|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
13823	wenigen		
13824	bescheidenen		
13825	Melodien		
13826	fand		
13827	sich		
13828	weder		
13829	Zeit		
13830	noch		
13831	Ruhe		
13832	.		
13833	Im		
13834	Zeichnen		
13835	hätte		
13836	sie	1843	(mention_id=1799|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
13837	gewiß		
13838	den		
13839	Preis		
13840	davongetragen		
13841	;		
13842	ihre	1844	(mention_id=1800|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
13843	Umrisse		
13844	waren		
13845	rein		
13846	und		
13847	die		
13848	Ausführung		
13849	bei		
13850	vieler		
13851	Sorgfalt		
13852	geistreich		
13853	.		
13854	Leider		
13855	hatte		
13856	sie	1845	(mention_id=1801|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
13857	etwas		
13858	zu		
13859	Großes		
13860	unternommen		
13861	und		
13862	war		
13863	nicht		
13864	fertig		
13865	geworden		
13866	.		
13867	Als		
13868	die		
13869	Schülerinnen	1846	(mention_id=1802|references=(entity=(entity_id=entity_0038|fullname=alle Schülerinnen der Pension zur Zeit als Ottilie und Luciane dort sind|gender=f|members=entity_0005,entity_0006|all_members_given=False|specialcase_entity=group)))
13870	abgetreten		
13871	waren		
13872	,		
13873	die		
13874	Prüfenden	1847	(mention_id=1803|references=(entity=(entity_id=entity_0052|fullname=Externe Prüfende der Pension|gender=m|members=entity_0061|all_members_given=False|specialcase_entity=group)))
13875	zusammen		
13876	Rat		
13877	hielten		
13878	und		
13879	uns	1848	(mention_id=1804|references=(entity=(entity_id=entity_0056|fullname=alle Lehrer der Pension|gender=u|members=entity_0037|all_members_given=False|specialcase_entity=group)))
13880	Lehrern	1849	(mention_id=1805|references=(entity=(entity_id=entity_0056|fullname=alle Lehrer der Pension|gender=u|members=entity_0037|all_members_given=False|specialcase_entity=group)))
13881	wenigstens		
13882	einiges		
13883	Wort		
13884	dabei		
13885	gönnten		
13886	,		
13887	merkte		
13888	ich	1850	(mention_id=1806|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
13889	wohl		
13890	bald		
13891	,		
13892	daß		
13893	von		
13894	Ottilien	1851	(mention_id=1807|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
13895	gar		
13896	nicht		
13897	und		
13898	,		
13899	wenn		
13900	es		
13901	geschah		
13902	,		
13903	wo		
13904	nicht		
13905	mit		
13906	Mißbilligung		
13907	,		
13908	doch		
13909	mit		
13910	Gleichgültigkeit		
13911	gesprochen		
13912	wurde		
13913	.		
13914	Ich	1852	(mention_id=1808|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
13915	hoffte		
13916	,		
13917	durch		
13918	eine		
13919	offne		
13920	Darstellung		
13921	ihrer	1853	(mention_id=1809|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
13922	Art		
13923	zu		
13924	sein		
13925	einige		
13926	Gunst		
13927	zu		
13928	erregen		
13929	,		
13930	und		
13931	wagte		
13932	mich	1854	(mention_id=1810|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
13933	daran		
13934	mit		
13935	doppeltem		
13936	Eifer		
13937	,		
13938	einmal		
13939	,		
13940	weil		
13941	ich	1855	(mention_id=1811|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
13942	nach		
13943	meiner	1856	(mention_id=1812|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
13944	Überzeugung		
13945	sprechen		
13946	konnte		
13947	,		
13948	und		
13949	sodann		
13950	,		
13951	weil		
13952	ich	1857	(mention_id=1813|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
13953	mich	1858	(mention_id=1814|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
13954	in		
13955	jüngeren		
13956	Jahren		
13957	in		
13958	eben		
13959	demselben		
13960	traurigen		
13961	Fall		
13962	befunden		
13963	hatte		
13964	.		
13965	Man		
13966	hörte		
13967	mich	1859	(mention_id=1815|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
13968	mit		
13969	Aufmerksamkeit		
13970	an		
13971	;		
13972	doch		
13973	als		
13974	ich	1860	(mention_id=1816|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
13975	geendigt		
13976	hatte		
13977	,		
13978	sagte		
13979	mir	1861	(mention_id=1817|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
13980	der		
13981	vorsitzende		(mention_id=1818|references=(entity=(entity_id=entity_0061|fullname=vorsitzender Prüfender|gender=m)))
13982	Prüfende	1862	(mention_id=1818|references=(entity=(entity_id=entity_0061|fullname=vorsitzender Prüfender|gender=m)))
13983	zwar		
13984	freundlich		
13985	,		
13986	aber		
13987	lakonisch		
13988	:		
13989	›		
13990	Fähigkeiten		
13991	werden		
13992	vorausgesetzt		
13993	,		
13994	sie		
13995	sollen		
13996	zu		
13997	Fertigkeiten		
13998	werden		
13999	.		
14000	Dies		
14001	ist		
14002	der		
14003	Zweck		
14004	aller		
14005	Erziehung		
14006	,		
14007	dies		
14008	ist		
14009	die		
14010	laute		
14011	,		
14012	deutliche		
14013	Absicht		
14014	der		
14015	Eltern	1863	(mention_id=1819|references=(entity=(entity_id=generic_0127|fullname=Eltern allgemein|gender=u|specialcase_entity=generic)))
14016	und		
14017	Vorgesetzten	1864	(mention_id=1820|references=(entity=(entity_id=generic_0128|fullname=Vorgesetzte allgemein|gender=u|specialcase_entity=generic)))
14018	,		
14019	die		
14020	stille		
14021	,		
14022	nur		
14023	halb		
14024	bewußte		
14025	der		
14026	Kinder	1865	(mention_id=1821|references=(entity=(entity_id=generic_0129|fullname=Kinder allgemein|gender=u|specialcase_entity=generic)))
14027	selbst		
14028	.		
14029	Dies		
14030	ist		
14031	auch		
14032	der		
14033	Gegenstand		
14034	der		
14035	Prüfung		
14036	,		
14037	wobei		
14038	zugleich		
14039	Lehrer	1866	(mention_id=1822|references=(entity=(entity_id=generic_0130|fullname=Lehrer allgemein|gender=u|specialcase_entity=generic)))
14040	und		
14041	Schüler	1867	(mention_id=1823|references=(entity=(entity_id=generic_0131|fullname=Schüler allgemein|gender=u|specialcase_entity=generic)))
14042	beurteilt		
14043	werden		
14044	.		
14045	Aus		
14046	dem		
14047	,		
14048	was		
14049	wir	1868	(mention_id=1824|references=(entity=(entity_id=entity_0052|fullname=Externe Prüfende der Pension|gender=m|members=entity_0061|all_members_given=False|specialcase_entity=group)))
14050	von		
14051	Ihnen	1869	(mention_id=1825|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
14052	vernehmen		
14053	,		
14054	schöpfen		
14055	wir	1870	(mention_id=1826|references=(entity=(entity_id=entity_0052|fullname=Externe Prüfende der Pension|gender=m|members=entity_0061|all_members_given=False|specialcase_entity=group)))
14056	gute		
14057	Hoffnung		
14058	von		
14059	dem		
14060	Kinde	1871	(mention_id=1827|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
14061	,		
14062	und		
14063	Sie	1872	(mention_id=1828|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))
14064	sind		
14065	allerdings		
