i	token	mention	is_section_start	gold
70133	Einundzwanzigstes		1	
70134	Kapitel		0	
70135	.		0	
70136	Im		0	
70137	Laufe		0	
70138	des		0	
70139	nächsten		0	
70140	Tages		0	
70141	verbreitete		0	
70142	sich		0	
70143	schnell		0	
70144	die		0	
70145	Nachricht		0	
70146	von		0	
70147	der		0	
70148	Einkerkerung		0	
70149	Ebendorffers	11132	0	(mention_id=11073|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
70150	und		0	
70151	Hammichels	11133	0	(mention_id=11074|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
70152	wie		0	
70153	auch		0	
70154	von		0	
70155	der		0	
70156	Veranlassung		0	
70157	dazu		0	
70158	.		0	
70159	Allerlei		0	
70160	Gerüchte		0	
70161	über		0	
70162	die		0	
70163	näheren		0	
70164	Umstände		0	
70165	,		0	
70166	zutreffende		0	
70167	und		0	
70168	falsche		0	
70169	,		0	
70170	oft		0	
70171	sehr		0	
70172	übertriebene		0	
70173	,		0	
70174	durchschwirrten		0	
70175	die		0	
70176	Stadt		0	
70177	und		0	
70178	spannten		0	
70179	die		0	
70180	Neugier		0	
70181	auf		0	
70182	das		0	
70183	Ergebnis		0	
70184	der		0	
70185	gerichtlichen		0	
70186	Untersuchung		0	
70187	.		0	
70188	Diese		0	
70189	ließ		0	
70190	nicht		0	
70191	lange		0	
70192	auf		0	
70193	sich		0	
70194	warten		0	
70195	.		0	
70196	Draußen		0	
70197	auf		0	
70198	der		0	
70199	Gasse		0	
70200	,		0	
70201	von		0	
70202	einer		0	
70203	vielköpfigen		0	
70204	Menge	11134	0	(mention_id=11075|references=(entity=(entity_id=entity_0226|fullname=Menge|gender=u|members=entity_0020,entity_0021|all_members_given=False|specialcase_entity=group)))
70205	umlagert		0	
70206	,		0	
70207	fand		0	
70208	im		0	
70209	Gemeindehause		0	
70210	die		0	
70211	vom		0	
70212	Schultheißen	11135	0	(mention_id=11076|references=(entity=(entity_id=entity_0030|fullname=Schultheiß Gottfried Bofinger|gender=m)))
70213	geführte		0	
70214	Gerichtsverhandlung		0	
70215	statt		0	
70216	,		0	
70217	zu		0	
70218	der		0	
70219	sämtliche		0	
70220	an		0	
70221	dem		0	
70222	Überfall		0	
70223	und		0	
70224	seiner		0	
70225	Abwehr		0	
70226	Beteiligte	11136	0	(mention_id=11077|references=(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)),(entity=(entity_id=entity_0010|fullname=Steffen Gersbacher|gender=m)),(entity=(entity_id=entity_0005|fullname=Peter Armbruster|gender=m)),(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)),(entity=(entity_id=entity_0006|fullname=Kaspar|gender=m)))
70227	geladen		0	
70228	waren		0	
70229	,		0	
70230	auch		0	
70231	Kaspar	11137	0	(mention_id=11078|references=(entity=(entity_id=entity_0006|fullname=Kaspar|gender=m)))
70232	.		0	
70233	Nur		0	
70234	Franz	11138	0	(mention_id=11079|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
70235	fehlte		0	
70236	,		0	
70237	weil		0	
70238	er	11139	0	(mention_id=11080|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
70239	seiner	11140	0	(mention_id=11081|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
70240	Wunde		0	
70241	wegen		0	
70242	nicht		0	
70243	erscheinen		0	
70244	konnte		0	
70245	.		0	
70246	Dagegen		0	
70247	nahm		0	
70248	kraft		0	
70249	seines	11141	0	(mention_id=11082|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))
70250	Amtes		0	
70251	der		0	
70252	Bürgermeister	11142	0	(mention_id=11083|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))
70253	als		0	
70254	Beisitzer	11143	0	(mention_id=11084|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))
70255	daran		0	
70256	teil		0	
70257	.		0	
70258	Die		0	
70259	Zeugenaussagen	11144	0	
70260	über		0	
70261	den		0	
70262	zu		0	
70263	ermittelnden		0	
70264	Tatbestand		0	
70265	,		0	
70266	zu		0	
70267	denen		0	
70268	sich	11145	0	(mention_id=11085|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)),(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)))
70269	in		0	
70270	der		0	
70271	ihnen	11146	0	(mention_id=11086|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)),(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)))
70272	sehr		0	
70273	peinlichen		0	
70274	Gegenwart		0	
70275	Ebendorffers	11147	0	(mention_id=11087|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
70276	auch		0	
70277	Trudi	11148	0	(mention_id=11088|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))
70278	und		0	
70279	Ammerie	11149	0	(mention_id=11089|references=(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)))
70280	bequemen		0	
70281	mußten		0	
70282	,		0	
70283	stimmten		0	
70284	in		0	
70285	allen		0	
70286	Punkten		0	
70287	überein		0	
70288	,		0	
70289	ohne		0	
70290	sich		0	
70291	in		0	
70292	einem		0	
70293	einzigen		0	
70294	zu		0	
70295	widersprechen		0	
70296	und		0	
70297	waren		0	
70298	für		0	
70299	die		0	
70300	Angeschuldigten	11150	0	(mention_id=11090|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)),(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
70301	geradezu		0	
70302	niederschmetternd		0	
70303	.		0	
70304	Die		0	
70305	Anklage		0	
70306	lautete		0	
70307	gegen		0	
70308	Ebendorffer	11151	0	(mention_id=11091|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
70309	auf		0	
70310	versuchten		0	
70311	Mädchenraub		0	
70312	mit		0	
70313	Anwendung		0	
70314	körperlicher		0	
70315	Gewalt		0	
70316	und		0	
70317	auf		0	
70318	Mordversuch		0	
70319	,		0	
70320	gegen		0	
70321	Hammichel	11152	0	(mention_id=11092|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
70322	auf		0	
70323	wesentliche		0	
70324	Hilfeleistung		0	
70325	beim		0	
70326	Mädchenraube		0	
70327	und		0	
70328	damit		0	
70329	zusammenhängende		0	
70330	Verleitung		0	
70331	zum		0	
70332	Mordversuche		0	
70333	.		0	
70334	Den		0	
70335	Entführungsversuch		0	
70336	konnte		0	
70337	Ebendorffer	11153	0	(mention_id=11093|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
70338	nicht		0	
70339	bestreiten		0	
70340	,		0	
70341	denn		0	
70342	sein	11154	0	(mention_id=11094|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
70343	gesatteltes		0	
70344	Pferd		0	
70345	,		0	
70346	das		0	
70347	sich		0	
70348	reiterlos		0	
70349	zur		0	
70350	goldenen		0	
70351	Traube		0	
70352	zurückgefunden		0	
70353	hatte		0	
70354	,		0	
70355	wie		0	
70356	auch		0	
70357	seine	11155	0	(mention_id=11095|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
70358	laut		0	
70359	an		0	
70360	Trudi	11156	0	(mention_id=11096|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))
70361	gerichteten		0	
70362	Worte		0	
70363	:		0	
70364	Du	11157	0	(mention_id=11097|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))
70365	kommst		0	
70366	mit		0	
70367	mir	11158	0	(mention_id=11098|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
70368	!		0	
70369	und		0	
70370	sein	11159	0	(mention_id=11099|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
70371	zwangweises		0	
70372	Ergreifen		0	
70373	und		0	
70374	Fortschleppen		0	
70375	des		0	
70376	durch		0	
70377	falsche		0	
70378	Vorspiegelungen		0	
70379	hergelockten		0	
70380	Mädchens	11160	0	(mention_id=11100|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))
70381	waren		0	
70382	die		0	
70383	unwiderleglichen		0	
70384	Beweise		0	
70385	seiner	11161	0	(mention_id=11101|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
70386	verbrecherischen		0	
70387	Absicht		0	
70388	.		0	
70389	Sich	11162	0	(mention_id=11102|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
70390	auf		0	
70391	seine	11163	0	(mention_id=11103|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
70392	klösterliche		0	
70393	Vollmacht		0	
70394	zu		0	
70395	berufen		0	
70396	,		0	
70397	wagte		0	
70398	er	11164	0	(mention_id=11104|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
70399	nicht		0	
70400	,		0	
70401	und		0	
70402	seine	11165	0	(mention_id=11105|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
70403	Ausrede		0	
70404	,		0	
70405	den		0	
70406	Messerstoß		0	
70407	in		0	
70408	der		0	
70409	Notwehr		0	
70410	getan		0	
70411	zu		0	
70412	haben		0	
70413	,		0	
70414	ließ		0	
70415	der		0	
70416	Schultheiß	11166	0	(mention_id=11106|references=(entity=(entity_id=entity_0030|fullname=Schultheiß Gottfried Bofinger|gender=m)))
70417	nicht		0	
70418	gelten		0	
70419	.		0	
70420	Den		0	
70421	dritten		0	
70422	Verschworenen	11167	0	(mention_id=11107|references=(entity=(entity_id=entity_0024|fullname=Wilm Steinecker|gender=m)))
70423	zu		0	
70424	nennen		0	
70425	weigerten		0	
70426	sich	11168	0	(mention_id=11108|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)),(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
70427	die		0	
70428	Angeklagten	11169	0	(mention_id=11109|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)),(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
70429	trotz		0	
70430	der		0	
70431	Drohung		0	
70432	des		0	
70433	Richters	11170	0	(mention_id=11110|references=(entity=(entity_id=entity_0030|fullname=Schultheiß Gottfried Bofinger|gender=m)))
70434	mit		0	
70435	der		0	
70436	Folterbank		0	
70437	.		0	
70438	Da		0	
70439	gab		0	
70440	,		0	
70441	vor		0	
70442	die		0	
70443	Schranne		0	
70444	gerufen		0	
70445	,		0	
70446	Kaspar	11171	0	(mention_id=11111|references=(entity=(entity_id=entity_0006|fullname=Kaspar|gender=m)))
70447	an		0	
70448	,		0	
70449	daß		0	
70450	der	11172	0	(mention_id=11112|references=(entity=(entity_id=entity_0024|fullname=Wilm Steinecker|gender=m)))
70451	mit		0	
70452	dem		0	
70453	geschwärzten		0	
70454	Gesicht		0	
70455	Wilm	11173	0	(mention_id=11113|references=(entity=(entity_id=entity_0024|fullname=Wilm Steinecker|gender=m)))
70456	Steinecker	11173	0	(mention_id=11113|references=(entity=(entity_id=entity_0024|fullname=Wilm Steinecker|gender=m)))
70457	gewesen		0	
70458	wäre		0	
70459	,		0	
70460	was		0	
70461	um		0	
70462	so		0	
70463	glaubhafter		0	
70464	schien		0	
70465	,		0	
70466	als		0	
70467	dieser	11174	0	(mention_id=11114|references=(entity=(entity_id=entity_0024|fullname=Wilm Steinecker|gender=m)))
70468	seit		0	
70469	jener		0	
70470	Nacht		0	
70471	spurlos		0	
70472	aus		0	
70473	der		0	
70474	Stadt		0	
