i	token	mention	gold
10372	Drittes		
10373	Buch		
10374	Erstes		
10375	Kapitel		
10376	Als		
10377	Marie	1669	(mention_id=1658|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))
10378	mich	1670	(mention_id=1659|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10379	verließ		
10380	;		
10381	haßte		
10382	ich	1671	(mention_id=1660|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10383	jede		
10384	Zerstreuung		
10385	.		
10386	Jetzt		
10387	aber		
10388	floh		
10389	ich	1672	(mention_id=1661|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10390	die		
10391	Einsamkeit		
10392	eben		
10393	so		
10394	sehr		
10395	,		
10396	wie		
10397	ich	1673	(mention_id=1662|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10398	sie		
10399	damals		
10400	gesucht		
10401	hatte		
10402	.		
10403	Ach		
10404	Mariens	1674	(mention_id=1663|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))
10405	Verlust		
10406	hatte		
10407	nur		
10408	mein	1675	(mention_id=1664|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10409	Herz		
10410	,		
10411	nicht		
10412	mein	1676	(mention_id=1665|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10413	Gewissen		
10414	verwundet		
10415	.		
10416	Jene		
10417	Wunden		
10418	heilt		
10419	die		
10420	Einsamkeit		
10421	,		
10422	diese		
10423	macht		
10424	sie		
10425	tödtlich		
10426	.		
10427	Das		
10428	empfand		
10429	auch		
10430	ich	1677	(mention_id=1666|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10431	;		
10432	und		
10433	so		
10434	stürzte		
10435	ich	1678	(mention_id=1667|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10436	mich	1679	(mention_id=1668|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10437	ohne		
10438	Rückhalt		
10439	in		
10440	den		
10441	Strudel		
10442	der		
10443	gesellschaftlichen		
10444	Vergnügungen		
10445	.		
10446	Lange		
10447	suchte		
10448	ich	1680	(mention_id=1669|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10449	einen		
10450	Gegenstand		
10451	um		
10452	die		
10453	schreckliche		
10454	Leere		
10455	in		
10456	meinem	1681	(mention_id=1670|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10457	Busen		
10458	auszufüllen		
10459	;		
10460	aber		
10461	da		
10462	war		
10463	nichts		
10464	Marien		(mention_id=1671|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))
10465	,		
10466	nichts		
10467	Sophien	1682	(mention_id=1672|references=(entity=(entity_id=entity_0018|fullname=Sophie|gender=f)))
10468	ähnliches		
10469	zu		
10470	finden		
10471	.		
10472	Man		
10473	wollte		
10474	mit		
10475	aller		
10476	Gewalt		
10477	von		
10478	mir	1683	(mention_id=1673|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10479	bemerkt		
10480	seyn		
10481	,		
10482	und		
10483	ich	1684	(mention_id=1674|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10484	war		
10485	noch		
10486	zu		
10487	sehr		
10488	verwöhnt		
10489	,		
10490	um		
10491	nicht		
10492	durch		
10493	eben		
10494	dieses		
10495	Bestreben		
10496	zurückgeschreckt		
10497	zu		
10498	werden		
10499	.		
10500	Schon		
10501	fing		
10502	die		
10503	Langeweile		
10504	an		
10505	,		
10506	sich		
10507	meiner	1685	(mention_id=1675|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10508	in		
10509	den		
10510	großen		
10511	Zirkeln		
10512	zu		
10513	bemächtigen		
10514	;		
10515	als		
10516	der		
10517	Zufall		
10518	mir	1686	(mention_id=1676|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10519	entgegenführte		
10520	,		
10521	was		
10522	ich	1687	(mention_id=1677|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10523	so		
10524	lange		
10525	vergeblich		
10526	gesucht		
10527	hatte		
10528	.		
10529	Einst		
10530	da		
10531	ich	1688	(mention_id=1678|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10532	mich	1689	(mention_id=1679|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10533	im		
10534	Schauspielhause		
10535	meinen	1690	(mention_id=1680|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10536	gewöhnlichen		
10537	Träumereyen		
10538	überließ		
10539	;		
10540	ward		
10541	meine	1691	(mention_id=1681|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10542	Aufmerksamkeit		
10543	durch		
10544	zwey		
10545	weibliche		
10546	Stimmen		(mention_id=1682|references=(entity=(entity_id=entity_0044|fullname=Begleiterin der Gräfin|gender=f)|specialcase_reference=part),(entity=(entity_id=entity_0040|fullname=Gräfin B.|gender=f)|specialcase_reference=part))
10547	angezogen		
10548	,		
10549	welche		
10550	aus		
10551	der		
10552	benachbarten		
10553	Loge		
10554	zu		
10555	kommen		
10556	schienen		
10557	.		
10558	Noch		
10559	waren		
10560	die		
10561	Lichter		
10562	nicht		
10563	angezündet		
10564	,		
10565	und		
10566	das		
10567	Geräusch		
10568	der		
10569	Kommenden		(mention_id=1683|references=(entity=(entity_id=entity_0049|fullname=Ankommende Besucher im Schauspielhaus|gender=u|specialcase_entity=group)))
10570	ließ		
10571	mich	1692	(mention_id=1684|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10572	nur		
10573	einige		
10574	Worte		
10575	erhaschen		
10576	;		
10577	doch		
10578	begriff		
10579	ich	1693	(mention_id=1685|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10580	,		
10581	daß		
10582	die		
10583	Rede		
10584	von		
10585	den		
10586	Männern	1694	(mention_id=1686|references=(entity=(entity_id=generic_0169|fullname=generic_0048|gender=u|specialcase_entity=generic)))
10587	war		
10588	.		
10589	Die		
10590	Kommenden		(mention_id=1687|references=(entity=(entity_id=entity_0049|fullname=Ankommende Besucher im Schauspielhaus|gender=u|specialcase_entity=group)))
10591	machten		
10592	eine		
10593	Pause		
10594	–		
10595	ich	1695	(mention_id=1688|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
10596	horchte		
10597	–		
10598	»		
10599	Ach		
10600	ich	1696	(mention_id=1689|references=(entity=(entity_id=entity_0040|fullname=Gräfin B.|gender=f)))
10601	dächte		
10602	gar		
10603	!		
10604	–		
10605	sagte		
10606	die		
10607	eine		
10608	Stimme		(mention_id=1690|references=(entity=(entity_id=entity_0040|fullname=Gräfin B.|gender=f)|specialcase_reference=part))
10609	–		
10610	zum		
10611	Auslachen		
10612	sind		
10613	sie		(mention_id=1691|references=(entity=(entity_id=generic_0170|fullname=generic_0049|gender=u|specialcase_entity=generic)))
10614	gut		
10615	;		
10616	und		
10617	dazu		
10618	habe		
10619	ich	1697	(mention_id=1692|references=(entity=(entity_id=entity_0040|fullname=Gräfin B.|gender=f)))
10620	sie	1698	(mention_id=1693|references=(entity=(entity_id=generic_0171|fullname=generic_0050|gender=u|specialcase_entity=generic)))
10621	gebraucht		
10622	«		
10623	.		
10624	Die		
