i	token	mention	gold
24400	6.		
24401	Acht		
24402	Tage		
24403	später		
24404	kehrten		
24405	die		
24406	Eisenschimmel	3396	
24407	mit		
24408	dem		
24409	geschlossenen		
24410	Wagen		
24411	im		
24412	scharfen		
24413	Trabe		
24414	vom		
24415	Kirchhofe		
24416	zurück		
24417	.		
24418	Im		
24419	Fond		
24420	saß		
24421	neben		
24422	dem		
24423	Onkel	3397	(mention_id=3397|references=(entity=(entity_id=entity_0008|fullname=Onkel Heinrich|gender=m)))
24424	Artur	3398	(mention_id=3398|references=(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)))
24425	Fredrich	3398	(mention_id=3398|references=(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)))
24426	mit		
24427	verweinten		
24428	Augen		
24429	;		
24430	gegenüber		
24431	Linden	3399	(mention_id=3399|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
24432	.		
24433	Sie	3400	(mention_id=3400|references=(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)),(entity=(entity_id=entity_0008|fullname=Onkel Heinrich|gender=m)))
24434	hatten		
24435	Trauerflor		
24436	um		
24437	die		
24438	Hüte		
24439	und		
24440	Trauerflor		
24441	am		
24442	linken		
24443	Arm		
24444	.		
24445	Der		
24446	Winter		
24447	war		
24448	vor		
24449	dem		
24450	Scheiden		
24451	noch		
24452	einmal		
24453	in		
24454	voller		
24455	Herrlichkeit		
24456	erschienen		
24457	.		
24458	Es		
24459	schneite		
24460	,		
24461	und		
24462	die		
24463	großen		
24464	Flocken		
24465	legten		
24466	sich		
24467	auf		
24468	ein		
24469	kleines		
24470	,		
24471	frisches		
24472	Grab		
24473	in		
24474	der		
24475	eisenumgitterten		
24476	Familiengruft		
24477	der		
24478	Baumhagens	3401	(mention_id=3401|references=(entity=(entity_id=entity_0010|fullname=Familie Baumhagen|gender=mf|members=entity_0004,entity_0005,entity_0006,entity_0007,entity_0008,entity_0009,entity_0015|all_members_given=True|specialcase_entity=group)))
24479	.		
24480	Jennys	3402	(mention_id=3402|references=(entity=(entity_id=entity_0006|fullname=Jenny Fredrich, geb. Baumhagen|gender=f)))
24481	blonder		
24482	Liebling	3403	(mention_id=3403|references=(entity=(entity_id=entity_0020|fullname=Walterchen Fredrich|gender=m)))
24483	war		
24484	tot		
24485	!		
24486	Im		
24487	Wagen		
24488	sprach		
24489	niemand		
24490	ein		
24491	Wort		
24492	,		
24493	und		
24494	als		
24495	die		
24496	drei		
24497	Herren	3404	(mention_id=3404|references=(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)),(entity=(entity_id=entity_0008|fullname=Onkel Heinrich|gender=m)))
24498	ausgestiegen		
24499	waren		
24500	,		
24501	ging		
24502	jeder	3405	(mention_id=3405|references=(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)),(entity=(entity_id=entity_0008|fullname=Onkel Heinrich|gender=m)))
24503	nach		
24504	einem		
24505	stummen		
24506	Händedruck		
24507	seinen		(mention_id=3406|references=(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)),(entity=(entity_id=entity_0008|fullname=Onkel Heinrich|gender=m)))
24508	eigenen		
24509	Weg		
24510	.		
