i	token	mention	is_section_start	gold
61461	14.		1	
61462	Trudchen	8578	0	(mention_id=8564|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
61463	erwachte		0	
61464	,		0	
61465	als		0	
61466	eben		0	
61467	der		0	
61468	Tag		0	
61469	zu		0	
61470	dämmern		0	
61471	begann		0	
61472	,		0	
61473	aus		0	
61474	tiefem		0	
61475	traumlosen		0	
61476	Schlaf		0	
61477	.		0	
61478	Sie	8579	0	(mention_id=8565|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
61479	war		0	
61480	nicht		0	
61481	krank		0	
61482	,		0	
61483	und		0	
61484	sie	8580	0	(mention_id=8566|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
61485	wußte		0	
61486	ganz		0	
61487	genau		0	
61488	,		0	
61489	was		0	
61490	mit		0	
61491	ihr	8581	0	(mention_id=8567|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
61492	vorgegangen		0	
61493	war		0	
61494	gestern		0	
61495	abend		0	
61496	.		0	
61497	Sie	8582	0	(mention_id=8568|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
61498	lag		0	
61499	in		0	
61500	Tante	8583	0	(mention_id=8569|references=(entity=(entity_id=entity_0011|fullname=Rosalie Kruse|gender=f)))
61501	Rosas	8583	0	(mention_id=8569|references=(entity=(entity_id=entity_0011|fullname=Rosalie Kruse|gender=f)))
61502	Zimmer		0	
61503	auf		0	
61504	dem		0	
61505	Sofa		0	
61506	.		0	
61507	Über		0	
61508	ihr	8584	0	(mention_id=8570|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
61509	lächelte		0	
61510	die		0	
61511	Urahne	8585	0	(mention_id=8571|references=(entity=(entity_id=entity_0315|fullname=Urahne|gender=m)))
61512	in		0	
61513	der		0	
61514	Puderfrisur		0	
61515	,		0	
61516	und		0	
61517	das		0	
61518	ganze		0	
61519	rosenbekränzte		0	
61520	,		0	
61521	wunderliche		0	
61522	Zimmerchen		0	
61523	stand		0	
61524	in		0	
61525	purpurrotem		0	
61526	Morgenschein		0	
61527	.		0	
61528	Zu		0	
61529	Füßen		0	
61530	des		0	
61531	Lagers		0	
61532	auf		0	
61533	einem		0	
61534	niedrigen		0	
61535	Schemel		0	
61536	saß		0	
61537	ein		0	
61538	junges		0	
61539	Mädchen	8586	0	(mention_id=8572|references=(entity=(entity_id=entity_0021|fullname=Adelheid Strom|gender=f)))
61540	in		0	
61541	schwarzem		0	
61542	Kleidchen		0	
61543	und		0	
61544	weißer		0	
61545	Schürze		0	
61546	.		0	
61547	Der		0	
61548	dunkle		0	
61549	Kopf		0	
61550	war		0	
61551	gegen		0	
61552	die		0	
61553	Sofalehne		0	
61554	gesunken		0	
61555	.		0	
61556	Die		0	
61557	Kleine	8587	0	(mention_id=8573|references=(entity=(entity_id=entity_0021|fullname=Adelheid Strom|gender=f)))
61558	schlief		0	
61559	süß		0	
61560	und		0	
61561	fest		0	
61562	.		0	
61563	Leise		0	
61564	erhob		0	
61565	sich	8588	0	(mention_id=8574|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
61566	die		0	
61567	junge		0	
61568	Frau	8589	0	(mention_id=8575|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
61569	.		0	
61570	Man		0	
61571	hatte		0	
61572	ihr	8590	0	(mention_id=8576|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
61573	gestern		0	
61574	abend		0	
61575	die		0	
61576	durchnäßten		0	
61577	Kleider		0	
61578	ausgezogen		0	
61579	und		0	
61580	sie	8591	0	(mention_id=8577|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
61581	in		0	
61582	einen		0	
61583	Schlafrock		0	
61584	gehüllt		0	
61585	.		0	
61586	Es		0	
61587	war		0	
61588	ja		0	
61589	noch		0	
61590	allerhand		0	
61591	Garderobe		0	
61592	von		0	
61593	ihr	8592	0	(mention_id=8578|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
61594	in		0	
61595	Niendorf		0	
61596	.		0	
61597	Auch		0	
61598	die		0	
61599	schmalen		0	
61600	Pantoffeln		0	
61601	fand		0	
61602	sie	8593	0	(mention_id=8579|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
61603	vor		0	
61604	dem		0	
61605	Lager		0	
61606	,		0	
61607	in		0	
61608	welche		0	
61609	sie	8594	0	(mention_id=8580|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
61610	sonst		0	
61611	beim		0	
61612	Aufstehen		0	
61613	zu		0	
61614	schlüpfen		0	
61615	pflegte		0	
61616	.		0	
61617	–		0	
61618	Sie	8595	0	(mention_id=8581|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
61619	war		0	
61620	sehr		0	
61621	eilig		0	
61622	und		0	
61623	sehr		0	
61624	behutsam		0	
61625	,		0	
61626	um		0	
61627	das		0	
61628	Mädchen	8596	0	(mention_id=8582|references=(entity=(entity_id=entity_0021|fullname=Adelheid Strom|gender=f)))
61629	nicht		0	
61630	zu		0	
61631	wecken		0	
61632	.		0	
61633	Wie		0	
61634	sie	8597	0	(mention_id=8583|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
61635	aber		0	
61636	leise		0	
61637	die		0	
61638	Tür		0	
61639	aufklinkte		0	
61640	,		0	
61641	fuhr		0	
61642	die		0	
61643	Schlafende	8598	0	(mention_id=8584|references=(entity=(entity_id=entity_0021|fullname=Adelheid Strom|gender=f)))
61644	empor		0	
61645	,		0	
61646	und		0	
61647	ein		0	
61648	Paar		0	
61649	verwunderte		0	
61650	dunkle		0	
61651	Augen		0	
61652	schauten		0	
61653	Trudchen	8599	0	(mention_id=8585|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
61654	an		0	
61655	.		0	
61656	»		0	
61657	Wo		0	
61658	wollen		0	
61659	Sie	8600	0	(mention_id=8586|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
61660	denn		0	
61661	hin		0	
61662	?		0	
61663	«		0	
61664	fragte		0	
61665	die		0	
61666	klare		0	
61667	Stimme		0	
61668	.		0	
61669	Trudchen	8601	0	(mention_id=8587|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
61670	blieb		0	
61671	zögernd		0	
61672	stehen		0	
61673	.		0	
61674	»		0	
61675	Herr	8602	0	(mention_id=8588|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
61676	Linden	8602	0	(mention_id=8588|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
61677	ist		0	
61678	so		0	
61679	spät		0	
61680	erst		0	
61681	schlafen		0	
61682	gegangen		0	
61683	«		0	
61684	,		0	
61685	fuhr		0	
61686	Heidchen	8603	0	(mention_id=8589|references=(entity=(entity_id=entity_0021|fullname=Adelheid Strom|gender=f)))
61687	Strom	8603	0	(mention_id=8589|references=(entity=(entity_id=entity_0021|fullname=Adelheid Strom|gender=f)))
61688	fort		0	
61689	,		0	
61690	»		0	
