i	token	mention	gold
174180	Erstes		
174181	Kapitel		
174182	.		
174183	Von		
174184	der		
174185	Landseite		
174186	des		
174187	Philadelphia-Bahnhofs		
174188	bietet		
174189	Newyork		
174190	keine		
174191	Avenüe		
174192	wie		
174193	von		
174194	der		
174195	Seeseite		
174196	seines		
174197	Hafens		
174198	.		
174199	Von		
174200	Neu		
174201	Lisbon		
174202	zurück		
174203	bot		
174204	sie		
174205	auch		
174206	keine		
174207	,		
174208	wie		
174209	von		
174210	Europa		
174211	heran		
174212	!		
174213	Im		
174214	Aeußern		
174215	und		
174216	Innern		
174217	verglich		
174218	Moorfeld	20254	(mention_id=20584|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
174219	seine	20255	(mention_id=20585|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
174220	zweite		
174221	Ankunft		
174222	mit		
174223	seiner	20256	(mention_id=20586|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
174224	ersten		
174225	,		
174226	und		
174227	—		
174228	der		
174229	Vergleich		
174230	war		
174231	traurig		
174232	genug		
174233	.		
174234	Deßungeachtet		
174235	konnte		
174236	er	20257	(mention_id=20587|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
174237	sich	20258	(mention_id=20588|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
174238	eines		
174239	gewissen		
174240	Heimathsgefühls		
174241	nicht		
174242	erwehren		
174243	,		
174244	wenigstens		
174245	im		
174246	ersten		
174247	Augenblicke		
174248	nicht		
174249	.		
174250	Diese		
174251	Straßen		
174252	—		
174253	diese		
174254	Kirchenthürme		
174255	,		
174256	—		
174257	dieses		
174258	Menschengewühl		
174259	—		
174260	um		
174261	wie		
174262	viel		
174263	näher		
174264	stand		
174265	es		
174266	dem		
174267	Europäer	20259	(mention_id=20589|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)),(entity=(entity_id=generic_5669|fullname=generic_2014|gender=u|specialcase_entity=generic)))
174268	,		
174269	als		
174270	die		
174271	blöde		
174272	,		
174273	glotzende		
174274	Einsamkeit		
174275	und		
174276	Barbarei		
174277	des		
174278	Urwaldes		
174279	!		
174280	Schon		
174281	das		
174282	Wehen		
174283	der		
174284	Seeluft		
174285	,		
174286	die		
174287	Nähe		
174288	des		
174289	Oceans		
174290	,		
174291	—		
174292	wie		
174293	lockend		
174294	!		
174295	wie		
174296	beflügelnd		
174297	!		
174298	Ist		
174299	das		
174300	Meer		
174301	nicht		
174302	der		
174303	Nachbar		
174304	aller		
174305	Menschen	20260	(mention_id=20590|references=(entity=(entity_id=generic_5670|fullname=generic_2015|gender=u|specialcase_entity=generic)))
174306	,		
174307	die		
174308	Pforte		
174309	aller		
174310	Länder		
174311	?		
174312	Diese		
174313	Welle		
174314	hat		
174315	den		
174316	Dom		
174317	von		
174318	Rouen		
174319	zurückgespiegelt		
174320	,		
174321	dort		
174322	liegen		
174323	die		
174324	Länder		
174325	Homer's	20261	(mention_id=20591|references=(entity=(entity_id=entity_0422|fullname=Homer|gender=m)))
174326	,		
174327	Shakespear's	20262	(mention_id=20592|references=(entity=(entity_id=entity_0408|fullname=Shakespeare|gender=m)))
174328	,		
174329	Petrarka's	20263	(mention_id=20593|references=(entity=(entity_id=entity_1160|fullname=Petrarka|gender=m)))
174330	!		
174331	Und		
174332	ein		
174333	Stück		
174334	Leinwand		
174335	trägt		
174336	hinüber		
174337	leichter		
174338	als		
174339	vogel-leicht		
174340	,		
174341	denn		
174342	selbst		
174343	die		
174344	Möwe		
174345	ruht		
174346	aus		
174347	auf		
174348	ihr		
174349	!		
174350	Wahrlich		
174351	,		
174352	jede		
174353	Seestadt		
174354	ist		
174355	die		
174356	Heimath		
174357	jedes		
174358	Menschen	20264	(mention_id=20594|references=(entity=(entity_id=generic_5671|fullname=generic_2016|gender=u|specialcase_entity=generic)))
174359	!		
174360	Leise		
174361	und		
174362	angenehm		
174363	spielen		
174364	diese		
174365	Empfindungen		
174366	in		
174367	Moorfeld's	20265	(mention_id=20595|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
174368	Seele		
174369	:		
174370	—		
174371	sie		
174372	sind		
174373	ihr		
174374	ahnungsreicher		
174375	Hintergrund		
174376	,		
174377	indeß		
174378	die		
174379	strengen		
174380	Sorgen		
174381	des		
174382	Tages		
174383	in		
174384	den		
174385	vordersten		
174386	Reihen		
174387	einherdröhnen		
174388	.		
174389	Es		
174390	war		
174391	bei		
174392	einbrechender		
174393	Abenddämmerung		
174394	,		
174395	als		
174396	er	20266	(mention_id=20596|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
174397	mit		
174398	dem		
174399	Philadelphia		
174400	Bahnzug		
174401	in		
174402	Newyork		
174403	ankam		
174404	.		
174405	Er	20267	(mention_id=20597|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
174406	stieg		
174407	in		
174408	dem		
174409	nächsten		
174410	Boardinghouse		
174411	am		
174412	Bahnhofe		
174413	ab		
174414	,		
174415	und		
174416	eilte		
174417	sogleich		
174418	,		
174419	Benthal	20268	(mention_id=20598|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))
174420	zu		
174421	sehen		
174422	.		
174423	Zwar		
174424	erlaubte		
174425	ihm	20269	(mention_id=20599|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
174426	die		
174427	späte		
174428	Tageszeit		
174429	nicht		
174430	mehr		
174431	,		
174432	bei		
174433	Frau	20270	(mention_id=20600|references=(entity=(entity_id=entity_0403|fullname=Frau von Milden|gender=f)))
174434	v.	20270	(mention_id=20600|references=(entity=(entity_id=entity_0403|fullname=Frau von Milden|gender=f)))
174435	Milden	20270	(mention_id=20600|references=(entity=(entity_id=entity_0403|fullname=Frau von Milden|gender=f)))
174436	vorzusprechen		
174437	,		
174438	doch		
174439	erinnerte		
174440	sich	20271	(mention_id=20601|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
174441	Moorfeld	20272	(mention_id=20602|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
174442	an		
174443	Kleindeutschland		
174444	.		
174445	Die		
174446	vorgerückte		
174447	Stunde		
174448	,		
174449	sonst		
174450	zu		
174451	jedem		
174452	Besuch		
174453	unpassend		
174454	,		
174455	eignete		
174456	sich		
174457	eben		
174458	zu		
174459	diesem		
174460	.		
174461	Dort		
174462	konnte		
174463	er	20273	(mention_id=20603|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
174464	den		
174465	einzigen		
174466	Versuch		
174467	,		
