i	token	mention	gold
20367	Achtes		
20368	Kapitel		
20369	Der		
20370	Hauptmann	2651	(mention_id=2602|references=(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
20371	untersuchte		
20372	gleich		
20373	am		
20374	frühsten		
20375	Morgen		
20376	den		
20377	Platz		
20378	,		
20379	entwarf		
20380	erst		
20381	einen		
20382	flüchtigen		
20383	und		
20384	,		
20385	als		
20386	die		
20387	Gesellschaft	2652	(mention_id=2603|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)),(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
20388	an		
20389	Ort		
20390	und		
20391	Stelle		
20392	sich		(mention_id=2604|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)),(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
20393	nochmals		
20394	entschieden		
20395	hatte		
20396	,		
20397	einen		
20398	genauen		
20399	Riß		
20400	nebst		
20401	Anschlag		
20402	und		
20403	allem		
20404	Erforderlichen		
20405	.		
20406	Es		
20407	fehlte		
20408	nicht		
20409	an		
20410	der		
20411	nötigen		
20412	Vorbereitung		
20413	.		
20414	Jenes		
20415	Geschäft		
20416	wegen		
20417	Verkauf		
20418	des		
20419	Vorwerks		
20420	ward		
20421	auch		
20422	sogleich		
20423	wieder		
20424	angegriffen		
20425	.		
20426	Die		
20427	Männer	2653	(mention_id=2605|references=(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)),(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
20428	fanden		
20429	zusammen		
20430	neuen		
20431	Anlaß		
20432	zur		
20433	Tätigkeit		
20434	.		
20435	Der		
20436	Hauptmann	2654	(mention_id=2606|references=(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
20437	machte		
20438	Eduarden	2655	(mention_id=2607|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
20439	bemerklich		
20440	,		
20441	daß		
20442	es		
20443	eine		
20444	Artigkeit		
20445	,		
20446	ja		
20447	wohl		
20448	gar		
20449	eine		
20450	Schuldigkeit		
20451	sei		
20452	,		
20453	Charlottens	2656	(mention_id=2608|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
20454	Geburtstag		
20455	durch		
20456	Legung		
20457	des		
20458	Grundsteins		
20459	zu		
20460	feiern		
20461	.		
20462	Es		
20463	bedurfte		
20464	nicht		
20465	viel		
20466	,		
20467	die		
20468	alte		
20469	Abneigung		
20470	Eduards	2657	(mention_id=2609|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
20471	gegen		
20472	solche		
20473	Feste		
20474	zu		
20475	überwinden		
20476	;		
20477	denn		
20478	es		
20479	kam		
20480	ihm	2658	(mention_id=2610|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
20481	schnell		
20482	in		
20483	den		
20484	Sinn		
20485	,		
20486	Ottiliens	2659	(mention_id=2611|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
20487	Geburtstag		
20488	,		
20489	der		
20490	später		
20491	fiel		
20492	,		
20493	gleichfalls		
20494	recht		
20495	feierlich		
20496	zu		
20497	begehen		
20498	.		
20499	Charlotte	2660	(mention_id=2612|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
20500	,		
20501	der	2661	(mention_id=2613|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
20502	die		
20503	neuen		
20504	Anlagen		
20505	,		
20506	und		
20507	was		
20508	deshalb		
20509	geschehen		
20510	sollte		
20511	,		
20512	bedeutend		
20513	,		
20514	ernstlich		
20515	,		
20516	ja		
20517	fast		
20518	bedenklich		
20519	vorkamen		
20520	,		
20521	beschäftigte		
20522	sich	2662	(mention_id=2614|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
20523	damit		
20524	,		
20525	die		
20526	Anschläge		
20527	,		
20528	Zeit-		
20529	und		
20530	Geldeinteilungen		
20531	nochmals		
20532	für		
20533	sich	2663	(mention_id=2615|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
20534	durchzugehen		
20535	.		
20536	Man	2664	(mention_id=2616|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)),(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
20537	sah		
20538	sich	2665	(mention_id=2617|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)),(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
20539	des		
20540	Tages		
20541	weniger		
20542	,		
20543	und		
20544	mit		
20545	desto		
20546	mehr		
20547	Verlangen		
20548	suchte		
20549	man	2666	
20550	sich	2667	
20551	des		
20552	Abends		
20553	auf		
20554	.		
20555	Ottilie	2668	(mention_id=2618|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
20556	war		
20557	indessen		
20558	schon		
20559	völlig		
20560	Herrin	2669	(mention_id=2619|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
20561	des		
20562	Haushaltes		
20563	,		
20564	und		
20565	wie		
20566	konnte		
20567	es		
20568	anders		
20569	sein		
20570	bei		
20571	ihrem	2670	(mention_id=2620|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
20572	stillen		
20573	und		
20574	sichern		
20575	Betragen		
20576	.		
20577	Auch		
20578	war		
20579	ihre	2671	(mention_id=2621|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
20580	ganze		
20581	Sinnesweise		
20582	dem		
20583	Hause		
20584	und		
20585	dem		
20586	Häuslichen		
20587	mehr		
20588	als		
20589	der		
20590	Welt		
20591	,		
20592	mehr		
20593	als		
20594	dem		
20595	Leben		
20596	im		
20597	Freien		
20598	zugewendet		
20599	.		
20600	Eduard	2672	(mention_id=2622|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
20601	bemerkte		
