i	token	mention	gold
168510	Achtes		
168511	Kapitel		
168512	.		
168513	Eine		
168514	finstere		
168515	Herbstnacht		
168516	bedeckt		
168517	Himmel		
168518	und		
168519	Erde		
168520	.		
168521	Der		
168522	Wind		
168523	braust		
168524	kalt		
168525	und		
168526	schneidend		
168527	über		
168528	Wald		
168529	und		
168530	Prairie		
168531	.		
168532	Nasse		
168533	Wolken		
168534	sprengen		
168535	stoßweise		
168536	Regenschauer		
168537	nieder		
168538	,		
168539	—		
168540	harte		
168541	körnige		
168542	Tropfen		
168543	,		
168544	die		
168545	schon		
168546	den		
168547	Eisgedanken		
168548	denken		
168549	.		
168550	Rasselnd		
168551	fahren		
168552	sie		
168553	durch		
168554	das		
168555	Gelaub		
168556	der		
168557	Bäume		
168558	und		
168559	streifen		
168560	Strich		
168561	um		
168562	Strich		
168563	Hekatomben		
168564	von		
168565	Blättern		
168566	ab		
168567	.		
168568	Die		
168569	Erde		
168570	schauert		
168571	in's		
168572	innerste		
168573	Mark		
168574	hinein		
168575	.		
168576	Es		
168577	dröhnt		
168578	ihr		
168579	wie		
168580	Trommelwirbel		
168581	im		
168582	Ohr		
168583	,		
168584	—		
168585	das		
168586	Martialgesetz		
168587	des		
168588	Winters		
168589	hört		
168590	sie		
168591	verkünden		
168592	.		
168593	Horch		
168594	,		
168595	wie		
168596	entsetzte		
168597	Thierlaute		
168598	durch		
168599	die		
168600	hohle		
168601	Finsterniß		
168602	dringen		
168603	!		
168604	Das		
168605	Volk	19519	
168606	der		
168607	Wildhöhlen		
168608	kreischt		
168609	angstzerrissen		
168610	den		
168611	Gott		
168612	des		
168613	irre		
168614	gewordenen		
168615	Lebens		
168616	an		
168617	.		
168618	Eine		
168619	Eule		
168620	raschelt		
168621	mit		
168622	schwerem		
168623	Flügel		
168624	durch's		
168625	Dickicht		
168626	—		
168627	ein		
168628	scharfer		
168629	Schrei		
168630	—		
168631	da		
168632	sank		
168633	noch		
168634	ein		
168635	Opfer		
168636	der		
168637	Local-Tyrannei		
168638	,		
168639	eh'		
168640	der		
168641	Winter		
168642	sie		
168643	Alle		
168644	,		
168645	Alle	19520	
168646	gebieterisch		
168647	anherrscht		
168648	:		
168649	Schlafet		
168650	und		
168651	sterbet		
168652	!		
168653	Hufetrab		
168654	schallt		
168655	durch		
168656	die		
168657	Nacht		
168658	,		
168659	erhitztes		
168660	,		
168661	abgehetztes		
168662	Schnauben		
168663	und		
168664	Schnaufen		
168665	,		
168666	—		
168667	es		
168668	ist		
168669	ein		
168670	Pferd		
168671	mit		
168672	seinem		
168673	Reiter	19521	(mention_id=19849|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
168674	.		
168675	Sie	19522	(mention_id=19850|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
168676	haben		
168677	einen		
168678	langen		
168679	Gang		
168680	gethan		
168681	.		
168682	Das		
168683	Pferd		
168684	ist		
168685	wund		
168686	geritten		
168687	,		
168688	mit		
168689	Schweiß		
168690	und		
168691	Schaum		
168692	bedeckt		
168693	,		
168694	die		
168695	Beine		
168696	hoch		
168697	hinauf		
168698	von		
168699	Sand		
168700	starrend		
168701	,		
168702	Schweif		
168703	und		
168704	Mähne		
168705	von		
