i	token	mention	gold
62813	Neunzehntes		
62814	Kapitel		
62815	.		
62816	Hammichel	9910	(mention_id=9842|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62817	schwankte		
62818	,		
62819	ob		
62820	er	9911	(mention_id=9843|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62821	von		
62822	der		
62823	Anwesenheit		
62824	des		
62825	Meiers	9912	(mention_id=9844|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
62826	in		
62827	der		
62828	Stadt		
62829	reden		
62830	oder		
62831	schweigen		
62832	sollte		
62833	und		
62834	welches		
62835	von		
62836	beiden		
62837	das		
62838	Einträglichste		
62839	für		
62840	ihn	9913	(mention_id=9845|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62841	wäre		
62842	.		
62843	Schwieg		
62844	er	9914	(mention_id=9846|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62845	und		
62846	bewog		
62847	auch		
62848	Ebendorffer	9915	(mention_id=9847|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
62849	dazu		
62850	,		
62851	so		
62852	behielt		
62853	er	9916	(mention_id=9848|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62854	diesen	9917	(mention_id=9849|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
62855	fest		
62856	am		
62857	Zügel		
62858	,		
62859	konnte		
62860	ihn	9918	(mention_id=9850|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
62861	zu		
62862	allerhand		
62863	zeitvertrödelnden		
62864	Unternehmungen		
62865	verleiten		
62866	und		
62867	für		
62868	seine	9919	(mention_id=9851|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62869	aufopferungsvolle		
62870	Beteiligung		
62871	daran		
62872	einen		
62873	ausgiebigen		
62874	Lohn		
62875	fordern		
62876	.		
62877	Dann		
62878	mußte		
62879	er	9920	(mention_id=9852|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62880	aber		
62881	auch		
62882	Jakobinen	9921	(mention_id=9853|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
62883	gegenüber		
62884	den		
62885	Mund		
62886	halten		
62887	,		
62888	konnte		
62889	ihr	9922	(mention_id=9854|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
62890	nicht		
62891	weismachen		
62892	,		
62893	daß		
62894	es		
62895	nur		
62896	von		
62897	ihm	9923	(mention_id=9855|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62898	abhinge		
62899	,		
62900	was		
62901	mit		
62902	Trudi	9924	(mention_id=9856|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))
62903	geschähe		
62904	und		
62905	verstopfte		
62906	sich	9925	(mention_id=9857|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62907	damit		
62908	eine		
62909	Einnahmequelle		
62910	,		
62911	aus		
62912	der		
62913	er	9926	(mention_id=9858|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62914	noch		
62915	weidlich		
62916	zu		
62917	schöpfen		
62918	gedachte		
62919	.		
62920	Nun		
62921	fragte		
62922	es		
62923	sich		
62924	noch		
62925	,		
62926	ob		
62927	der		
62928	Bürgermeister	9927	(mention_id=9859|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))
62929	schweigen		
62930	oder		
62931	das		
62932	anspruchsvolle		
62933	Begehren		
62934	des		
62935	Bronnbachers	9928	(mention_id=9860|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
62936	an		
62937	die		
62938	große		
62939	Glocke		
62940	hängen		
62941	würde		
62942	,		
62943	und		
62944	das		
62945	war		
62946	für		
62947	Hammichel	9929	(mention_id=9861|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62948	ganz		
62949	unberechenbar		
62950	.		
62951	Er	9930	(mention_id=9862|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62952	kraute		
62953	sich	9931	(mention_id=9863|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62954	verzweifelt		
62955	hinter		
62956	den		
62957	Ohren		
62958	,		
62959	weil		
62960	er	9932	(mention_id=9864|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62961	sich	9933	(mention_id=9865|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62962	keinen		
62963	Rat		
62964	wußte		
62965	,		
62966	wie		
62967	er	9934	(mention_id=9866|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62968	aus		
62969	diesem		
62970	Zwiespalt		
62971	herauskommen		
62972	sollte		
62973	.		
62974	An		
62975	den		
62976	Knöpfen		
62977	seines	9935	(mention_id=9867|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62978	Wamses		
62979	wollte		
62980	er	9936	(mention_id=9868|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62981	sich	9937	(mention_id=9869|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62982	die		
62983	Entscheidung		
62984	über		
62985	sein	9938	(mention_id=9870|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62986	Tun		
62987	oder		
62988	Lassen		
62989	nicht		
62990	abzählen		
62991	,		
62992	sondern		
62993	mit		
62994	seinem	9939	(mention_id=9871|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
62995	alle		
62996	Möglichkeiten		
62997	abwägenden		
62998	Spürsinn		
62999	das		
63000	Richtige		
63001	zu		
63002	treffen		
63003	suchen		
63004	.		
63005	Aber		
63006	er	9940	(mention_id=9872|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
63007	verwickelte		
63008	sich	9941	(mention_id=9873|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
63009	mit		
63010	seinen	9942	(mention_id=9874|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
63011	unschlüssigen		
63012	Spekulationen		
63013	wie		
63014	in		
63015	den		
63016	Maschen		
63017	eines		
63018	ihm	9943	(mention_id=9875|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
63019	über		
63020	den		
63021	Kopf		
63022	geworfenen		
63023	Netzes		
63024	und		
63025	hörte		
63026	dabei		
63027	fortwährend		
63028	Jakobinens	9944	(mention_id=9876|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
63029	rheinische		
63030	Gulden		
63031	klirren		
63032	.		
63033	Das		
63034	klang		
63035	ihm	9945	(mention_id=9877|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
63036	sehr		
63037	lockend		
63038	,		
63039	doch		
63040	ihm	9946	(mention_id=9878|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
63041	war		
63042	so		
63043	,		
63044	als		
63045	stünde		
63046	in		
63047	der		
63048	Schrift		
63049	:		
63050	der		
63051	Geiz		
63052	ist		
63053	die		
63054	Wurzel		
63055	alles		
63056	Übels		
63057	.		
63058	Das		
63059	glaube		
63060	ich	9947	(mention_id=9879|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
63061	nicht		
63062	,		
63063	sprach		
63064	er	9948	(mention_id=9880|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
63065	vor		
63066	sich	9949	(mention_id=9881|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
63067	hin		
63068	;		
63069	ich	9950	(mention_id=9882|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
63070	bin		
63071	der		
63072	Meinung		
63073	,		
63074	daß		
63075	die		
63076	Dummheit		
63077	die		
63078	Wurzel		
63079	alles		
