i	token	mention	gold
17960	Siebentes		
17961	Kapitel		
17962	Indem		
17963	nun		
17964	Charlotte	2372	(mention_id=2318|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
17965	mit		
17966	dem		
17967	Hauptmann	2373	(mention_id=2319|references=(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
17968	eine		
17969	gemeinsame		
17970	Beschäftigung		
17971	fand		
17972	,		
17973	so		
17974	war		
17975	die		
17976	Folge		
17977	,		
17978	daß		
17979	sich	2374	(mention_id=2320|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
17980	Eduard	2375	(mention_id=2321|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
17981	mehr		
17982	zu		
17983	Ottilien	2376	(mention_id=2322|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
17984	gesellte		
17985	.		
17986	Für		
17987	sie	2377	(mention_id=2323|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
17988	sprach		
17989	ohnehin		
17990	seit		
17991	einiger		
17992	Zeit		
17993	eine		
17994	stille		
17995	,		
17996	freundliche		
17997	Neigung		
17998	in		
17999	seinem	2378	(mention_id=2324|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
18000	Herzen		
18001	.		
18002	Gegen		
18003	jedermann	2379	
18004	war		
18005	sie	2380	(mention_id=2325|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
18006	dienstfertig		
18007	und		
18008	zuvorkommend		
18009	;		
18010	daß		
18011	sie	2381	(mention_id=2326|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
18012	es		
18013	gegen		
18014	ihn	2382	(mention_id=2327|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
18015	am		
18016	meisten		
18017	sei		
18018	,		
18019	das		
18020	wollte		
18021	seiner	2383	(mention_id=2328|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
18022	Selbstliebe		
18023	scheinen		
18024	.		
18025	Nun		
