i	token	mention	gold
28517	Neuntes		
28518	Kapitel		
28519	.		
28520	Jakobine	4336	(mention_id=4298|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
28521	war		
28522	tief		
28523	niedergeschlagen		
28524	von		
28525	dem		
28526	schmählichen		
28527	Mißerfolg		
28528	ihres	4337	(mention_id=4299|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
28529	Stelldicheins		
28530	,		
28531	wobei		
28532	das		
28533	Gegenteil		
28534	von		
28535	dem		
28536	geschehen		
28537	war		
28538	,		
28539	was		
28540	sie	4338	(mention_id=4300|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
28541	ersehnt		
28542	und		
28543	erhofft		
28544	hatte		
28545	,		
28546	statt		
28547	eines		
28548	unwiderruflichen		
28549	Verlöbnisses		
28550	ein		
28551	vollständiger		
28552	,		
28553	unheilbarer		
28554	Bruch		
28555	mit		
28556	Franz	4339	(mention_id=4301|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
28557	,		
28558	der	4340	(mention_id=4302|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
28559	ihr	4341	(mention_id=4303|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
28560	in		
28561	der		
28562	unverhohlensten		
28563	Weise		
28564	den		
28565	Laufpaß		
28566	gegeben		
28567	hatte		
28568	.		
28569	Hammichel	4342	(mention_id=4304|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
28570	,		
28571	ihrem	4343	(mention_id=4305|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
28572	heimlichen		
28573	Helfer	4344	(mention_id=4306|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
28574	bei		
28575	dem		
28576	Eroberungsversuche		
28577	,		
28578	konnte		
28579	sie	4345	(mention_id=4307|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
28580	nicht		
28581	zürnen		
28582	,		
28583	denn		
28584	der	4346	(mention_id=4308|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
28585	hatte		
28586	getan		
28587	,		
28588	was		
28589	sie	4347	(mention_id=4309|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
28590	von		
28591	ihm	4348	(mention_id=4310|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
28592	begehrt		
28593	hatte		
28594	.		
28595	Sein	4349	(mention_id=4311|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
28596	Mittel		
28597	hatte		
28598	ja		
28599	auch		
28600	einen		
28601	bedenklich		
28602	hohen		
28603	Wärmegrad		
28604	der		
28605	beiderseitigen		
28606	Zärtlichkeiten		
28607	erzeugt		
28608	,		
28609	aber		
28610	zu		
28611	noch		
28612	einem		
28613	Schritt		
28614	weiter		
28615	hatte		
28616	die		
28617	Stärke		
28618	der		
28619	Mischung		
28620	nicht		
28621	gelangt		
28622	und		
28623	war		
28624	nicht		
28625	wirksam		
28626	genug		
28627	gewesen		
28628	,		
28629	um		
28630	der		
28631	liebelechzenden		
28632	Verführerin	4350	(mention_id=4312|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
28633	einen		
28634	alles		
28635	erreichenden		
28636	Sieg		
28637	über		
28638	den		
28639	sich	4351	(mention_id=4313|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
28640	kaum		
28641	noch		
28642	Sträubenden	4352	(mention_id=4314|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
28643	zu		
28644	verschaffen		
28645	.		
28646	Einen		
28647	zweiten		
28648	,		
28649	kräftigeren		
28650	Trunk		
28651	konnte		
28652	sie	4353	(mention_id=4315|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
28653	ihm	4354	(mention_id=4316|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
28654	aber		
28655	nicht		
28656	beibringen		
28657	,		
28658	denn		
28659	niemals		
28660	würde		
28661	Franz	4355	(mention_id=4317|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
28662	wieder		
28663	einen		
28664	von		
28665	ihr	4356	(mention_id=4318|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
28666	kredenzten		
28667	Becher		
28668	an		
28669	die		
28670	Lippen		
28671	setzen		
28672	.		
28673	Trotz		
28674	des		
28675	qualvollen		
28676	Gefühls		
28677	verschmähter		
28678	Liebe		
28679	bemühte		
28680	sich	4357	(mention_id=4319|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
28681	Jakobine	4358	(mention_id=4320|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
28682	standhaft		
28683	,		
28684	den		
28685	Ihrigen	4359	(mention_id=4321|references=(entity=(entity_id=entity_0026|fullname=Familie Steinecker|gender=mf|members=entity_0022,entity_0023,entity_0024,entity_0025|all_members_given=True|specialcase_entity=group)))
28686	zu		
28687	verbergen		
28688	,		
28689	wie		
28690	ihr	4360	(mention_id=4322|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
28691	zumute		
28692	war		
28693	,		
28694	und		
28695	zeigte		
28696	sich	4361	(mention_id=4323|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
28697	in		
28698	ihrer	4362	(mention_id=4324|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
28699	Gegenwart		
28700	unbekümmert		
28701	und		
28702	heiter		
28703	.		
28704	Aber		
28705	ihr	4363	(mention_id=4325|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
28706	Bruder	4364	(mention_id=4326|references=(entity=(entity_id=entity_0024|fullname=Wilm Steinecker|gender=m)))
28707	Wilm	4364	(mention_id=4327|references=(entity=(entity_id=entity_0024|fullname=Wilm Steinecker|gender=m)))
28708	,		
28709	der	4365	(mention_id=4328|references=(entity=(entity_id=entity_0024|fullname=Wilm Steinecker|gender=m)))
28710	ja		
28711	,		
28712	ohne		
28713	von		
28714	dem		
28715	Liebestrank		
28716	etwas		
28717	zu		
28718	wissen		
28719	,		
28720	Franz	4366	(mention_id=4329|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
28721	zu		
