i	token	mention	gold
30796	8.		
30797	Es		
30798	ist		
30799	köstlich		
30800	,		
30801	mit		
30802	seinem	4380	
30803	Glück		
30804	dem		
30805	Lenz		
30806	entgegenzugehen		
30807	.		
30808	Blatt		
30809	um		
30810	Blatt		
30811	trieben		
30812	die		
30813	Bäume		
30814	im		
30815	Niendorfer		
30816	Garten		
30817	,		
30818	wie		
30819	grüne		
30820	Schleier		
30821	hing		
30822	es		
30823	über		
30824	dem		
30825	sprossenden		
30826	Walde		
30827	,		
30828	und		
30829	überall		
30830	blühten		
30831	die		
30832	Veilchen		
30833	,		
30834	in		
30835	Trudchens	4381	(mention_id=4371|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
30836	ganzem		
30837	Revier		
30838	duftete		
30839	es		
30840	nach		
30841	den		
30842	blauen		
30843	Frühlingskindern		
30844	.		
30845	Wie		
30846	Lerchenschlag		
30847	drang		
30848	die		
30849	Stimme		
30850	der		
30851	jungen		
30852	Frau	4382	(mention_id=4372|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
30853	durch		
30854	das		
30855	alte		
30856	Haus		
30857	.		
30858	Wenn		
30859	Franz	4383	(mention_id=4373|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
30860	sonnenverbrannt		
30861	vom		
30862	Felde		
30863	heimkehrte		
30864	,		
30865	flatterte		
30866	oben		
30867	aus		
30868	den		
30869	blinkenden		
30870	Fenstern		
30871	ein		
30872	weißes		
30873	Tuch		
30874	,		
30875	und		
30876	kam		
30877	er	4384	(mention_id=4374|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
30878	auf		
30879	den		
30880	Hof		
30881	,		
30882	so		
30883	flatterte		
30884	es		
30885	auf		
30886	der		
30887	obersten		
30888	Treppenstufe		
30889	in		
30890	ihrer	4385	(mention_id=4375|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
30891	Hand		
30892	.		
30893	»		
30894	Liebster	4386	(mention_id=4376|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
30895	,		
30896	da		
30897	bist		
30898	du	4387	(mention_id=4377|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
30899	!		
30900	«		
30901	sagte		
30902	sie	4388	(mention_id=4378|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
30903	dann		
30904	innig		
30905	.		
30906	Und		
30907	die		
30908	Spaziergänge		
30909	im		
30910	Walde		
30911	,		
30912	die		
30913	Abende		
30914	,		
30915	wenn		
30916	er	4389	(mention_id=4379|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
30917	vorlas		
30918	,		
30919	und		
30920	dann		
30921	die		
30922	Einrichtung		
30923	des		
30924	Hauses		
30925	!		
30926	Wie		
30927	süß		
30928	war		
30929	es		
30930	,		
30931	zusammen		
30932	zu		
30933	beraten		
30934	,		
30935	auszuwählen		
30936	,		
30937	einzukaufen		
30938	,		
30939	und		
30940	wie		
30941	freuten		
30942	sie	4390	(mention_id=4380|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
30943	sich	4391	(mention_id=4381|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
30944	beide	4392	(mention_id=4382|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
30945	,		
30946	wenn		
30947	sie	4393	(mention_id=4383|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
30948	genau		
30949	das		
30950	nämliche		
30951	gedacht		
30952	hatten		
30953	.		
30954	So		
30955	putzte		
30956	sich		
30957	allmählich		
30958	das		
30959	alte		
30960	Haus		
30961	.		
30962	Tapezierer	4394	(mention_id=4384|references=(entity=(entity_id=entity_0229|fullname=Tapezierer|gender=m|specialcase_entity=group)))
30963	und		
30964	Handwerker	4395	(mention_id=4385|references=(entity=(entity_id=entity_0224|fullname=Handwerker|gender=m|specialcase_entity=group)))
30965	schafften		
30966	darin		
30967	,		
30968	nur		
30969	Frau	4396	(mention_id=4386|references=(entity=(entity_id=entity_0011|fullname=Rosalie Kruse|gender=f)))
30970	Rosas	4396	(mention_id=4386|references=(entity=(entity_id=entity_0011|fullname=Rosalie Kruse|gender=f)))
30971	Zimmer		
30972	blieb		
30973	unbehelligt		
30974	und		
30975	das		
30976	traute		
30977	Stübchen		
30978	des		
30979	Hausherrn	4397	(mention_id=4387|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
30980	,		
30981	in		
30982	dem		
30983	sie	4398	(mention_id=4388|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
30984	ihre	4399	(mention_id=4389|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
30985	glücklichsten		
30986	Wochen		
30987	verlebt		
30988	hatten		
30989	.		
30990	Und		
30991	heute		
30992	war		
30993	alles		
30994	fertig		
30995	,		
30996	gemütlich		
30997	und		
30998	wohnlich		
30999	,		
31000	aber		
31001	ohne		
31002	jeglichen		
31003	Pomp		
31004	.		
31005	Die		
31006	niedrigen		
31007	Räume		
31008	eigneten		
31009	sich		
31010	nicht		
31011	zur		
31012	Schaustellung		
31013	kostbarer		
31014	geschnitzter		
31015	Möbel		
31016	–		
31017	so		
31018	hatten		
31019	sie	4400	(mention_id=4390|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
31020	beide	4401	(mention_id=4391|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
31021	im		
31022	richtigen		
31023	Gefühl		
31024	nur		
31025	einfache		
31026	Sachen		
31027	gewählt		
31028	.		
31029	»		
31030	Wenn		
31031	wir	4402	(mention_id=4392|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
31032	uns	4403	(mention_id=4393|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
31033	später		
31034	ein		
31035	neues		
31036	Wohnhaus		
31037	bauen		
31038	,		
31039	Trudchen	4404	
31040	,		
31041	dann		
31042	wollen		
31043	wir	4405	(mention_id=4394|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
31044	es		
31045	schöner		
31046	einrichten		
31047	«		
31048	,		
31049	meinte		
31050	er	4406	(mention_id=4395|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
31051	,		
31052	und		
31053	sie	4407	(mention_id=4396|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
31054	nickte		
31055	:		
31056	»		
31057	Erst		
31058	die		
31059	Wirtschaft		
31060	,		
31061	Franz.	4408	
31062	Uns	4409	(mention_id=4397|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
31063	gefällt		
