i	token	is_section_start	gold	pred
93759	schüttelnd	0		
93760	zur	0		
93761	Sonne	0		
93762	auffliegt	0		
93763	,	0		
93764	griff	0		
93765	er	0	(mention_id=11123|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=11022|references=(entity=(entity_id=15|fullname=Moorfeld|gender=m)))
93766	in's	0		
93767	Füllhorn	0		
93768	der	0		
93769	Inspiration	0		
93770	.	0		
93771	Er	0	(mention_id=11124|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=11023|references=(entity=(entity_id=15|fullname=Moorfeld|gender=m)))
93772	antwortete	0		
93773	:	0		
93774	Sie	0	(mention_id=11125|references=(entity=(entity_id=entity_0014|fullname=Cöleste Bennet|gender=f)))	(mention_id=11024|references=(entity=(entity_id=5|fullname=Cöleste|gender=f)))
93775	haben	0		
93776	richtig	0		
93777	gerathen	0		
93778	,	0		
93779	theure	0		
93780	Miß	0	(mention_id=11126|references=(entity=(entity_id=entity_0014|fullname=Cöleste Bennet|gender=f)))	
93781	.	0		
93782	Auch	0		
93783	der	0		
93784	eisstarrende	0		
93785	Norden	0		
93786	hat	0		
93787	meine	0	(mention_id=11127|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=11025|references=(entity=(entity_id=15|fullname=Moorfeld|gender=m)))
93788	Reiselust	0		
93789	in	0		
93790	seinen	0		
93791	strengen	0		
93792	Bann	0		
93793	zu	0		
93794	zaubern	0		
93795	gewußt	0		
93796	.	0		
93797	Aber	0		
93798	wahrlich	0		
93799	,	0		
93800	es	0		
93801	erlebt	0		
93802	sich	0		
93803	nichts	0		
93804	Freundliches	0		
93805	dort	0		
93806	.	0		
93807	Wo	0		
93808	der	0		
93809	Eskimo	0	(mention_id=11128|references=(entity=(entity_id=generic_4279|fullname=generic_0624|gender=u|specialcase_entity=generic)))	(mention_id=11026|references=(entity=(entity_id=generic_0001|fullname=ein Eskimo im Allgemeinen|gender=u|specialcase_entity=generic)))
93810	sich	0	(mention_id=11129|references=(entity=(entity_id=generic_4280|fullname=generic_0625|gender=u|specialcase_entity=generic)))	(mention_id=11027|references=(entity=(entity_id=generic_0002|fullname=ein Eskimo im Allgemeinen|gender=u|specialcase_entity=generic)))
93811	und	0		
93812	seine	0	(mention_id=11130|references=(entity=(entity_id=generic_4281|fullname=generic_0626|gender=u|specialcase_entity=generic)))	
93813	Lampe	0		
93814	aus	0		
93815	ein-	0		
93816	und	0		
93817	derselben	0		
93818	widerlichen	0		
93819	Thranquelle	0		
