i	token	is_section_start	gold	pred
83249	Funfzehntes	1		
83250	Kapitel	0		
83251	Wenn	0		
83252	sich	0	(mention_id=10951|references=(entity=(entity_id=generic_1082|fullname=Verwandte|gender=u|specialcase_entity=generic)),(entity=(entity_id=generic_1088|fullname=Freunde|gender=u|specialcase_entity=generic)),(entity=(entity_id=generic_1094|fullname=Hausgenossen|gender=u|specialcase_entity=generic)))	
83253	in	0		
83254	einem	0		
83255	glücklichen	0		
83256	,	0		
83257	friedlichen	0		
83258	Zusammenleben	0		
83259	Verwandte	0	(mention_id=10952|references=(entity=(entity_id=generic_1083|fullname=Verwandte|gender=u|specialcase_entity=generic)))	(mention_id=11037|references=(entity=(entity_id=generic_0001|fullname=Verwandte im Allgemeinen|gender=u|specialcase_entity=generic)))
83260	,	0		
83261	Freunde	0	(mention_id=10953|references=(entity=(entity_id=generic_1089|fullname=Freunde|gender=u|specialcase_entity=generic)))	(mention_id=11038|references=(entity=(entity_id=generic_0006|fullname=Freunde im Allgemeinen|gender=u|specialcase_entity=generic)))
83262	,	0		
83263	Hausgenossen	0	(mention_id=10954|references=(entity=(entity_id=generic_1095|fullname=Hausgenossen|gender=u|specialcase_entity=generic)))	(mention_id=11039|references=(entity=(entity_id=generic_0011|fullname=Hausgenossen im Allgemeinen|gender=u|specialcase_entity=generic)))
83264	,	0		
83265	mehr	0		
83266	als	0		
83267	nötig	0		
83268	und	0		
83269	billig	0		
83270	ist	0		
83271	,	0		
83272	von	0		
83273	dem	0		
83274	unterhalten	0		
83275	,	0		
83276	was	0		
83277	geschieht	0		
83278	oder	0		
83279	geschehen	0		
83280	soll	0		
83281	,	0		
83282	wenn	0		
83283	sie	0	(mention_id=10955|references=(entity=(entity_id=generic_1084|fullname=Verwandte|gender=u|specialcase_entity=generic)),(entity=(entity_id=generic_1090|fullname=Freunde|gender=u|specialcase_entity=generic)),(entity=(entity_id=generic_1096|fullname=Hausgenossen|gender=u|specialcase_entity=generic)))	(mention_id=11040|references=(entity=(entity_id=generic_0002|fullname=Verwandte im Allgemeinen|gender=u|specialcase_entity=generic)),(entity=(entity_id=generic_0007|fullname=Freunde im Allgemeinen|gender=u|specialcase_entity=generic)),(entity=(entity_id=generic_0012|fullname=Hausgenossen im Allgemeinen|gender=u|specialcase_entity=generic)))
83284	sich	0	(mention_id=10956|references=(entity=(entity_id=generic_1085|fullname=Verwandte|gender=u|specialcase_entity=generic)),(entity=(entity_id=generic_1091|fullname=Freunde|gender=u|specialcase_entity=generic)),(entity=(entity_id=generic_1097|fullname=Hausgenossen|gender=u|specialcase_entity=generic)))	(mention_id=11041|references=(entity=(entity_id=generic_0003|fullname=Verwandte im Allgemeinen|gender=u|specialcase_entity=generic)),(entity=(entity_id=generic_0008|fullname=Freunde im Allgemeinen|gender=u|specialcase_entity=generic)),(entity=(entity_id=generic_0013|fullname=Hausgenossen im Allgemeinen|gender=u|specialcase_entity=generic)))
83285	einander	0	(mention_id=10957|references=(entity=(entity_id=generic_1086|fullname=Verwandte|gender=u|specialcase_entity=generic)),(entity=(entity_id=generic_1092|fullname=Freunde|gender=u|specialcase_entity=generic)),(entity=(entity_id=generic_1098|fullname=Hausgenossen|gender=u|specialcase_entity=generic)))	(mention_id=11042|references=(entity=(entity_id=generic_0004|fullname=Verwandte im Allgemeinen|gender=u|specialcase_entity=generic)),(entity=(entity_id=generic_0009|fullname=Freunde im Allgemeinen|gender=u|specialcase_entity=generic)),(entity=(entity_id=generic_0014|fullname=Hausgenossen im Allgemeinen|gender=u|specialcase_entity=generic)))
83286	ihre	0	(mention_id=10958|references=(entity=(entity_id=generic_1087|fullname=Verwandte|gender=u|specialcase_entity=generic)),(entity=(entity_id=generic_1093|fullname=Freunde|gender=u|specialcase_entity=generic)),(entity=(entity_id=generic_1099|fullname=Hausgenossen|gender=u|specialcase_entity=generic)))	(mention_id=11043|references=(entity=(entity_id=generic_0005|fullname=Verwandte im Allgemeinen|gender=u|specialcase_entity=generic)),(entity=(entity_id=generic_0010|fullname=Freunde im Allgemeinen|gender=u|specialcase_entity=generic)),(entity=(entity_id=generic_0015|fullname=Hausgenossen im Allgemeinen|gender=u|specialcase_entity=generic)))
83287	Vorsätze	0		
83288	,	0		
83289	Unternehmungen	0		
83290	,	0		
83291	Beschäftigungen	0		
83292	wiederholt	0		
83293	mitteilen	0		
83294	und	0		
83295	,	0		
83296	ohne	0		
83297	gerade	0		
83298	wechselseitigen	0		
83299	Rat	0		
83300	anzunehmen	0		
83301	,	0		
83302	doch	0		
83303	immer	0		
83304	das	0		
83305	ganze	0		
83306	Leben	0		
83307	gleichsam	0		
83308	ratschlagend	0		
83309	behandeln	0		
83310	,	0		
83311	so	0		
83312	findet	0		
83313	man	0		
83314	dagegen	0		
83315	in	0		
83316	wichtigen	0		
83317	Momenten	0		
83318	,	0		
83319	eben	0		
83320	da	0		
83321	,	0		
83322	wo	0		
83323	es	0		
83324	scheinen	0		
83325	sollte	0		
83326	,	0		
83327	der	0		
83328	Mensch	0	(mention_id=10959|references=(entity=(entity_id=generic_1100|fullname=Mensch allgemein|gender=u|specialcase_entity=generic)))	(mention_id=11044|references=(entity=(entity_id=generic_0016|fullname=ein Mensch im Allgemeinen|gender=u|specialcase_entity=generic)))
