i	token	is_section_start	gold	pred
20367	Achtes	1		
20368	Kapitel	0		
20369	Der	0		
20370	Hauptmann	0	(mention_id=2602|references=(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))	(mention_id=2651|references=(entity=(entity_id=3|fullname=Hauptmann|gender=m)))
20371	untersuchte	0		
20372	gleich	0		
20373	am	0		
20374	frühsten	0		
20375	Morgen	0		
20376	den	0		
20377	Platz	0		
20378	,	0		
20379	entwarf	0		
20380	erst	0		
20381	einen	0		
20382	flüchtigen	0		
20383	und	0		
20384	,	0		
20385	als	0		
20386	die	0		
20387	Gesellschaft	0	(mention_id=2603|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)),(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2652|references=(entity=(entity_id=6|fullname=die Gesellschaft|gender=mf|specialcase_entity=group)))
20388	an	0		
20389	Ort	0		
20390	und	0		
20391	Stelle	0		
20392	sich	0	(mention_id=2604|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)),(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	
20393	nochmals	0		
20394	entschieden	0		
20395	hatte	0		
20396	,	0		
20397	einen	0		
20398	genauen	0		
20399	Riß	0		
20400	nebst	0		
20401	Anschlag	0		
20402	und	0		
20403	allem	0		
20404	Erforderlichen	0		
20405	.	0		
20406	Es	0		
20407	fehlte	0		
20408	nicht	0		
20409	an	0		
20410	der	0		
20411	nötigen	0		
20412	Vorbereitung	0		
20413	.	0		
20414	Jenes	0		
20415	Geschäft	0		
20416	wegen	0		
20417	Verkauf	0		
20418	des	0		
20419	Vorwerks	0		
20420	ward	0		
20421	auch	0		
20422	sogleich	0		
20423	wieder	0		
20424	angegriffen	0		
20425	.	0		
20426	Die	0		
20427	Männer	0	(mention_id=2605|references=(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)),(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))	(mention_id=2653|references=(entity=(entity_id=3|fullname=Hauptmann|gender=m)),(entity=(entity_id=2|fullname=Eduard|gender=m)))
20428	fanden	0		
20429	zusammen	0		
20430	neuen	0		
20431	Anlaß	0		
20432	zur	0		
20433	Tätigkeit	0		
20434	.	0		
20435	Der	0		
20436	Hauptmann	0	(mention_id=2606|references=(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))	(mention_id=2654|references=(entity=(entity_id=3|fullname=Hauptmann|gender=m)))
20437	machte	0		
20438	Eduarden	0	(mention_id=2607|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))	(mention_id=2655|references=(entity=(entity_id=2|fullname=Eduard|gender=m)))
20439	bemerklich	0		
20440	,	0		
20441	daß	0		
20442	es	0		
20443	eine	0		
20444	Artigkeit	0		
20445	,	0		
20446	ja	0		
20447	wohl	0		
20448	gar	0		
20449	eine	0		
20450	Schuldigkeit	0		
20451	sei	0		
20452	,	0		
20453	Charlottens	0	(mention_id=2608|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=2656|references=(entity=(entity_id=1|fullname=Charlotte|gender=f)))
20454	Geburtstag	0		
20455	durch	0		
20456	Legung	0		
20457	des	0		
20458	Grundsteins	0		
20459	zu	0		
20460	feiern	0		
20461	.	0		
20462	Es	0		
20463	bedurfte	0		
20464	nicht	0		
20465	viel	0		
20466	,	0		
20467	die	0		
20468	alte	0		
20469	Abneigung	0		
20470	Eduards	0	(mention_id=2609|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))	(mention_id=2657|references=(entity=(entity_id=2|fullname=Eduard|gender=m)))
20471	gegen	0		
20472	solche	0		
20473	Feste	0		
20474	zu	0		
20475	überwinden	0		
20476	;	0		
20477	denn	0		
20478	es	0		
20479	kam	0		
20480	ihm	0	(mention_id=2610|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))	(mention_id=2658|references=(entity=(entity_id=2|fullname=Eduard|gender=m)))
20481	schnell	0		
20482	in	0		
20483	den	0		
20484	Sinn	0		
20485	,	0		
20486	Ottiliens	0	(mention_id=2611|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2659|references=(entity=(entity_id=4|fullname=Ottilie|gender=f)))
20487	Geburtstag	0		
20488	,	0		
20489	der	0		
20490	später	0		
20491	fiel	0		
20492	,	0		
20493	gleichfalls	0		
20494	recht	0		
20495	feierlich	0		
20496	zu	0		
20497	begehen	0		
20498	.	0		
20499	Charlotte	0	(mention_id=2612|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=2660|references=(entity=(entity_id=1|fullname=Charlotte|gender=f)))
20500	,	0		
20501	der	0	(mention_id=2613|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=2661|references=(entity=(entity_id=1|fullname=Charlotte|gender=f)))
20502	die	0		
20503	neuen	0		
20504	Anlagen	0		
20505	,	0		
20506	und	0		
20507	was	0		
20508	deshalb	0		
20509	geschehen	0		
20510	sollte	0		
20511	,	0		
20512	bedeutend	0		
20513	,	0		
20514	ernstlich	0		
20515	,	0		
20516	ja	0		
20517	fast	0		
20518	bedenklich	0		
20519	vorkamen	0		
20520	,	0		
20521	beschäftigte	0		
20522	sich	0	(mention_id=2614|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=2662|references=(entity=(entity_id=1|fullname=Charlotte|gender=f)))
20523	damit	0		
20524	,	0		
20525	die	0		
20526	Anschläge	0		
20527	,	0		
20528	Zeit-	0		
20529	und	0		
20530	Geldeinteilungen	0		
20531	nochmals	0		
20532	für	0		
20533	sich	0	(mention_id=2615|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=2663|references=(entity=(entity_id=1|fullname=Charlotte|gender=f)))
20534	durchzugehen	0		
20535	.	0		
20536	Man	0	(mention_id=2616|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)),(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2664|references=(entity=(entity_id=6|fullname=die Gesellschaft|gender=mf|specialcase_entity=group)))
20537	sah	0		
20538	sich	0	(mention_id=2617|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)),(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2665|references=(entity=(entity_id=6|fullname=die Gesellschaft|gender=mf|specialcase_entity=group)))
20539	des	0		
20540	Tages	0		
20541	weniger	0		
20542	,	0		
20543	und	0		
20544	mit	0		
20545	desto	0		
20546	mehr	0		
20547	Verlangen	0		
20548	suchte	0		
20549	man	0		(mention_id=2666|references=(entity=(entity_id=6|fullname=die Gesellschaft|gender=mf|specialcase_entity=group)))
20550	sich	0		(mention_id=2667|references=(entity=(entity_id=6|fullname=die Gesellschaft|gender=mf|specialcase_entity=group)))
20551	des	0		
20552	Abends	0		
20553	auf	0		
20554	.	0		
20555	Ottilie	0	(mention_id=2618|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2668|references=(entity=(entity_id=4|fullname=Ottilie|gender=f)))
20556	war	0		
20557	indessen	0		
20558	schon	0		
20559	völlig	0		
20560	Herrin	0	(mention_id=2619|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2669|references=(entity=(entity_id=4|fullname=Ottilie|gender=f)))
20561	des	0		
20562	Haushaltes	0		
20563	,	0		
20564	und	0		
20565	wie	0		
20566	konnte	0		
20567	es	0		
20568	anders	0		
20569	sein	0		
20570	bei	0		
20571	ihrem	0	(mention_id=2620|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2670|references=(entity=(entity_id=4|fullname=Ottilie|gender=f)))
20572	stillen	0		
20573	und	0		
20574	sichern	0		
20575	Betragen	0		
20576	.	0		
20577	Auch	0		
20578	war	0		
20579	ihre	0	(mention_id=2621|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2671|references=(entity=(entity_id=4|fullname=Ottilie|gender=f)))
20580	ganze	0		
20581	Sinnesweise	0		
20582	dem	0		
20583	Hause	0		
20584	und	0		
20585	dem	0		
20586	Häuslichen	0		
20587	mehr	0		
20588	als	0		
20589	der	0		
20590	Welt	0		
20591	,	0		
20592	mehr	0		
20593	als	0		
20594	dem	0		
20595	Leben	0		
20596	im	0		
20597	Freien	0		
20598	zugewendet	0		
20599	.	0		
20600	Eduard	0	(mention_id=2622|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))	(mention_id=2672|references=(entity=(entity_id=2|fullname=Eduard|gender=m)))
20601	bemerkte	0		
20602	bald	0		
20603	,	0		
20604	daß	0		
20605	sie	0	(mention_id=2623|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2673|references=(entity=(entity_id=4|fullname=Ottilie|gender=f)))
20606	eigentlich	0		
20607	nur	0		
20608	aus	0		
20609	Gefälligkeit	0		
20610	in	0		
20611	die	0		
20612	Gegend	0		
20613	mitging	0		
20614	,	0		
20615	daß	0		
20616	sie	0	(mention_id=2624|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2674|references=(entity=(entity_id=4|fullname=Ottilie|gender=f)))
20617	nur	0		
20618	aus	0		
20619	geselliger	0		
20620	Pflicht	0		
20621	abends	0		
20622	länger	0		
20623	draußen	0		
20624	verweilte	0		
20625	,	0		
20626	auch	0		
20627	wohl	0		
20628	manchmal	0		
20629	einen	0		
20630	Vorwand	0		
20631	häuslicher	0		
20632	Tätigkeit	0		
20633	suchte	0		
20634	,	0		
20635	um	0		
20636	wieder	0		
20637	hineinzugehen	0		
20638	.	0		
20639	Sehr	0		
20640	bald	0		
20641	wußte	0		
20642	er	0	(mention_id=2625|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))	(mention_id=2675|references=(entity=(entity_id=2|fullname=Eduard|gender=m)))
20643	daher	0		
20644	die	0		
20645	gemeinschaftlichen	0		
20646	Wanderungen	0		
20647	so	0		
20648	einzurichten	0		
20649	,	0		
20650	daß	0		
20651	man	0	(mention_id=2626|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)),(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))	
20652	vor	0		
20653	Sonnenuntergang	0		
20654	wieder	0		
20655	zu	0		
20656	Hause	0		
20657	war	0		
20658	,	0		
20659	und	0		
20660	fing	0		
20661	an	0		
20662	,	0		
20663	was	0		
20664	er	0	(mention_id=2627|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))	(mention_id=2676|references=(entity=(entity_id=2|fullname=Eduard|gender=m)))
20665	lange	0		
20666	unterlassen	0		
20667	hatte	0		
20668	,	0		
20669	Gedichte	0		
20670	vorzulesen	0		
20671	,	0		
20672	solche	0		
20673	besonders	0		
20674	,	0		
20675	in	0		
20676	deren	0		
20677	Vortrag	0		
20678	der	0		
20679	Ausdruck	0		
20680	einer	0		
20681	reinen	0		
20682	,	0		
20683	doch	0		
20684	leidenschaftlichen	0		
20685	Liebe	0		
20686	zu	0		
20687	legen	0		
20688	war	0		
20689	.	0		
20690	Gewöhnlich	0		
20691	saßen	0		
