i	token	is_section_start	gold	pred
24685	Achtes	1		
24686	Kapitel	0		
24687	.	0		
24688	Während	0		
24689	Christoph	0	(mention_id=3671|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))	(mention_id=3711|references=(entity=(entity_id=3|fullname=Christoph|gender=m)))
24690	Armbruster	0	(mention_id=3671|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))	(mention_id=3711|references=(entity=(entity_id=3|fullname=Christoph|gender=m)))
24691	mit	0		
24692	Sorgen	0		
24693	und	0		
24694	Kümmernissen	0		
24695	Trudis	0	(mention_id=3672|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=3712|references=(entity=(entity_id=14|fullname=Trudi|gender=f)))
24696	wegen	0		
24697	beladen	0		
24698	war	0		
24699	,	0		
24700	schuf	0		
24701	die	0		
24702	nichts	0		
24703	davon	0		
24704	Ahnende	0	(mention_id=3673|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=3713|references=(entity=(entity_id=14|fullname=Trudi|gender=f)))
24705	wieder	0		
24706	einer	0		
24707	anderen	0	(mention_id=3674|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))	(mention_id=3714|references=(entity=(entity_id=10|fullname=Jakobine|gender=f)))
24708	gebranntes	0		
24709	Herzeleid	0		
24710	.	0		
24711	In	0		
24712	Jakobinen	0	(mention_id=3675|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))	(mention_id=3715|references=(entity=(entity_id=10|fullname=Jakobine|gender=f)))
24713	hatte	0		
24714	sich	0		
24715	der	0		
24716	schon	0		
24717	lange	0		
24718	gehegte	0		
24719	Verdacht	0		
24720	,	0		
24721	daß	0		
24722	Trudi	0	(mention_id=3676|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=3716|references=(entity=(entity_id=14|fullname=Trudi|gender=f)))
